Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
44654e54f125,Pine Beach Trail,AllTrails,3.5,26.0,19,1,61.0,Out & Back,4.6,Bon Secour National Wildlife Refuge,Alabama,United States,30.24765,-87.82936,510,https://www.alltrails.com/trail/us/alabama/pine-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUwNzQ5OTQvYTk5NTI1ZTdlNGM3YmFlZjhhMWU3ZmYxM2I5NjhjZWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
cc8ee8753717,"Gulf Oak Ridge, Cross Park, and Bobcat Branch Loop",AllTrails,8.1,39.0,26,3,140.0,Loop,4.6,Gulf State Park,Alabama,United States,30.27189,-87.65562,215,https://www.alltrails.com/trail/us/alabama/gulf-oak-ridge-cross-park-and-bobcat-branch-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc2NjYwMzgvZTdjYWQwNjgyZjM2YWE3MjliN2QxZWJlYzU3OWJkN2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0b289ac9667c,Jeff Friend Loop Trail ,AllTrails,0.9,6.0,9,1,16.0,Loop,4.5,Bon Secour National Wildlife Refuge,Alabama,United States,30.24512,-87.78621,197,https://www.alltrails.com/trail/us/alabama/jeff-friend-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDA3NjM1MTkvNDU1ZjhhMTUzMGU1MWUzOTlmNGFhZTkwMGVlNzRmMTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
9fd1cdf3f5a0,Centennial Trail,AllTrails,4.7,13.0,13,1,80.0,Out & Back,4.1,Bon Secour National Wildlife Refuge,Alabama,United States,30.24773,-87.82933,76,https://www.alltrails.com/trail/us/alabama/centennial-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE0NjA1OTUvYzkzZGZkZjJhYWI3NzhmZDFhZjQ0MGJiMTUwODM1ODIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
2df688525311,Cross Country,AllTrails,3.1,71.0,49,1,57.0,Loop,4.2,Graham Creek Nature Preserve,Alabama,United States,30.34622,-87.62441,75,https://www.alltrails.com/trail/us/alabama/cross-country,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI2OTI3NjgvOTY4MzcwZGQ1ZGFkNzIzZTdkMTJhODkwOWRkMjBkNTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
4f598ca4c02a,Gator Lake Trail,AllTrails,1.5,21.0,13,1,27.0,Out & Back,4.1,Bon Secour National Wildlife Refuge,Alabama,United States,30.23642,-87.83025,87,https://www.alltrails.com/trail/us/alabama/gator-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTcxMTAyNTMvODA4ZTQ1OWZmMDI1ZTNlNGQwNzhhZTk2ODY4YzVmYzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
6c00e3fe7d37,"Alligator Marsh, Bobcat Branch and Tallow Trail",AllTrails,1.9,,6,1,32.0,Loop,4.3,Gulf State Park,Alabama,United States,30.264,-87.64166,52,https://www.alltrails.com/trail/us/alabama/alligator-marsh,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ3MDU5MDIvODBjMWMxNDQwNDJlOTI1Y2UyMzM4NGZhZmU3MmY1ZjEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
dc6751f54146,Creek Crawl Trail,AllTrails,4.6,104.0,49,1,85.0,Loop,4.2,Graham Creek Nature Preserve,Alabama,United States,30.34623,-87.62443,45,https://www.alltrails.com/trail/us/alabama/creek-crawl-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDM0NTMwNjkvY2JlNDI5ZDdjMDQxMmZiM2M4NzYwNTNkNTFlZTg2YjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
35e5bdf0bf6f,Cross Country Trail to Pitcher Plant Loop,AllTrails,3.6,78.0,49,1,66.0,Loop,3.9,Graham Creek Nature Preserve,Alabama,United States,30.34718,-87.6319,50,https://www.alltrails.com/trail/us/alabama/cross-country-trail-to-pitcher-plant-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTMwMzQ4NzcvNzFhY2EzMjY3ZThlYmNkZDgyODhhOTZmNmIzOWYzMTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
3c5561afb75c,Milk Wort Trail,AllTrails,1.6,42.0,32,1,30.0,Loop,4.1,Graham Creek Nature Preserve,Alabama,United States,30.34623,-87.62446,42,https://www.alltrails.com/trail/us/alabama/milk-wort-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTg4MTM0OTYvOGMxN2U5ZmRlYTNkZjRmMjA3MjljZDg3NTVjNjYxZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
