Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
cd5557461941,10033776,Pine Beach Trail,AllTrails,3.5,26.0,19,1,61.0,Out & Back,,4.6,507,Bon Secour National Wildlife Refuge,Alabama,United States,30.24765,-87.82936,https://www.alltrails.com/trail/us/alabama/pine-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUwNzQ5OTQvYTk5NTI1ZTdlNGM3YmFlZjhhMWU3ZmYxM2I5NjhjZWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
e5b4fe2c3929,10422468,"Gulf Oak Ridge, Cross Park, and Bobcat Branch Loop",AllTrails,8.1,39.0,26,3,140.0,Loop,,4.6,215,Gulf State Park,Alabama,United States,30.27189,-87.65562,https://www.alltrails.com/trail/us/alabama/gulf-oak-ridge-cross-park-and-bobcat-branch-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTg3NjI0NTEvN2ZkMGEwZWEyZDdhYTI1OTJkZmZhNjIyZjRmYjYyYzYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
bde1827f536b,10020508,Jeff Friend Loop Trail ,AllTrails,0.9,6.0,9,1,16.0,Loop,,4.5,196,Bon Secour National Wildlife Refuge,Alabama,United States,30.24512,-87.78621,https://www.alltrails.com/trail/us/alabama/jeff-friend-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI3OTIwMjYvNDIxNjQ3ODMzYmZiMzdkNmMxY2M1M2JhYWI3ZDFlNDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
54555ff3f626,10605971,Cross Country,AllTrails,3.1,71.0,49,1,57.0,Loop,,4.3,79,Graham Creek Nature Preserve,Alabama,United States,30.34622,-87.62441,https://www.alltrails.com/trail/us/alabama/cross-country,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzEzNDUyODUvMzU4OWUzZTYyZmJmZmU3YzMzMzRiNWEzZGYyNTYzOWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
1fe467ede2d9,10342939,Centennial Trail,AllTrails,4.7,13.0,13,1,80.0,Out & Back,,4.1,77,Bon Secour National Wildlife Refuge,Alabama,United States,30.24773,-87.82933,https://www.alltrails.com/trail/us/alabama/centennial-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI3MTc3NzgvYjUzMDQzYTg1Y2U4OTk2NGUzZTkzZWVhYjM1YTI1ZWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
16e619c7be3c,10344391,Gator Lake Trail,AllTrails,1.5,21.0,13,1,27.0,Out & Back,,4.1,88,Bon Secour National Wildlife Refuge,Alabama,United States,30.23642,-87.83025,https://www.alltrails.com/trail/us/alabama/gator-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTcxMTAyNTMvODA4ZTQ1OWZmMDI1ZTNlNGQwNzhhZTk2ODY4YzVmYzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
eb1b3ac2cc62,11021876,"Alligator Marsh, Bobcat Branch and Tallow Trail",AllTrails,1.9,,6,1,32.0,Loop,,4.3,54,Gulf State Park,Alabama,United States,30.264,-87.64166,https://www.alltrails.com/trail/us/alabama/alligator-marsh,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcxMTAzMTkvMmRhOGFmMTBiYTY2ZTExNjA1ZDBmY2RlNGNlNjNmZDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
270bb483b8c1,10605942,Creek Crawl Trail,AllTrails,4.6,104.0,49,1,85.0,Loop,,4.3,48,Graham Creek Nature Preserve,Alabama,United States,30.34623,-87.62443,https://www.alltrails.com/trail/us/alabama/creek-crawl-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTg4MTM0OTYvOGMxN2U5ZmRlYTNkZjRmMjA3MjljZDg3NTVjNjYxZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5b977a77cab8,10605979,Milk Wort Trail,AllTrails,1.6,42.0,32,1,30.0,Loop,,4.2,44,Graham Creek Nature Preserve,Alabama,United States,30.34623,-87.62446,https://www.alltrails.com/trail/us/alabama/milk-wort-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ1NzE4NzgvMTZlYWI0M2NkYzE5NmQxMGYxNzdlYTEwZjhmZWQ4Y2QuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
a30d917c500a,10386038,Cross Country Trail to Pitcher Plant Loop,AllTrails,3.6,78.0,49,1,66.0,Loop,,4.0,51,Graham Creek Nature Preserve,Alabama,United States,30.34718,-87.6319,https://www.alltrails.com/trail/us/alabama/cross-country-trail-to-pitcher-plant-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQyODQ5NzMvZmYyM2I3M2EwZmU5NTkzNzc0NzU4MjkxNWFiMTBkODMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
