Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
7ac7af4a084b,Crossett Park Loop,AllTrails,2.4,16.0,150,1,42.0,Loop,4.8,Crossett City Park,Arkansas,United States,33.11573,-91.97696,11,https://www.alltrails.com/trail/us/arkansas/crossett-park-loop,,2024-04-02
a993ce974fbf,Lucas Pond Trail,AllTrails,0.7,3.0,147,1,12.0,Out & Back,0.0,Crossett City Park,Arkansas,United States,33.11671,-91.97281,0,https://www.alltrails.com/trail/us/arkansas/lucas-pond-trail,,2024-04-02
5867d4068a3b,Spring Branch Trail,AllTrails,2.0,140.0,370,1,43.0,Loop,4.5,Logoly State Park,Arkansas,United States,33.34948,-93.1835,35,https://www.alltrails.com/trail/us/arkansas/spring-branch-trail--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA5MTkxMDMvNzQ5OTJmNjZiZjdjMjkyYzFlNDhmOTEwYjYwZDU2OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
7ae63930ffc7,Crane's Fly Trail,AllTrails,1.0,75.0,354,1,22.0,Loop,4.0,Logoly State Park,Arkansas,United States,33.34715,-93.18391,27,https://www.alltrails.com/trail/us/arkansas/cranes-fly-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA5MTkxMDMvNzQ5OTJmNjZiZjdjMjkyYzFlNDhmOTEwYjYwZDU2OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e55d9d1df399,Moro Bay Deer Run Trail,AllTrails,0.5,6.0,95,1,9.0,Loop,4.3,,Arkansas,United States,33.30083,-92.34447,12,https://www.alltrails.com/trail/us/arkansas/moro-bay-deer-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc5NTc0ODkvMzU3NWMxMjllZGUyMmZiYTcwZWIwNmYwYzRkNTIxNDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
11b878d02e37,Moro Bay Low Water Trail,AllTrails,0.6,13.0,82,1,11.0,Loop,3.3,Moro Bay State Park,Arkansas,United States,33.29825,-92.34886,10,https://www.alltrails.com/trail/us/arkansas/moro-bay-low-water-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc5NzUwMzYvY2EwOTFjNTFiZDlmNTkwYWM0NjZlMTU4OGQ3ZDA5MDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
006b4ab69adb,Delta Woodlands Trail,AllTrails,1.0,,124,1,17.0,Loop,3.1,Lake Chicot State Park,Arkansas,United States,33.37154,-91.19551,8,https://www.alltrails.com/trail/us/arkansas/delta-woodlands-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIxNTE5NzEvMTQ0YzhmZTFkYmM1NWFkOGEwNThjNTM2NjcyNDE5OTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
51405c8627d6,Nix Creek Trail,AllTrails,4.4,35.0,311,1,77.0,Out & Back,4.3,North Texarkana Park,Arkansas,United States,33.46035,-94.0207,89,https://www.alltrails.com/trail/us/arkansas/nix-creek-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDMxNDgwMDMvNTRmNjA1ZDFmMGE2YjI5NTJkNWRmY2E0OTFjYmM2MDAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
058fa70d7c3a,Arkansas Little Grand Canyon,AllTrails,0.5,32.0,232,1,11.0,Loop,4.2,,Arkansas,United States,33.6994,-93.09785,80,https://www.alltrails.com/trail/us/arkansas/arkansas-little-grand-canyon,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA1OTUzNDUvNGY3MDQzNWUzZGY3ZmM0MWUzNjhiNjY2Zjk5ZDgyYTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
68084cc24523,Coastal Plain Trail,AllTrails,3.0,182.0,291,1,63.0,Loop,4.6,White Oak Lake State Park,Arkansas,United States,33.68812,-93.11053,130,https://www.alltrails.com/trail/us/arkansas/coastal-plain-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ3Mjc4NTAvNWJlNzQ1MjY5YmVmOWE5ODQzMGZiNjU5NWQ4M2FjMDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
