Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
7769424e54d4,10041671,Mianus Maze Trail,AllTrails,5.0,318.0,232,3,105.0,Loop,,4.6,1959,Mianus River State Park,Connecticut,United States,41.08082,-73.5802,https://www.alltrails.com/trail/us/connecticut/mianus-maze-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM5OTYyMzEvNGQ2ZDQ5MWEyMDIwNDc4ZGJkOGY1MmQwNDdjNWRhOWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
347bcfa2e539,10287384,Pine Hill Road and Meander Trail Loop,AllTrails,2.6,147.0,187,1,54.0,Loop,,4.6,919,Mianus River Park,Connecticut,United States,41.08091,-73.58033,https://www.alltrails.com/trail/us/connecticut/pine-hill-road-and-meander-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTUyODYzOTEvYWFhMWQxNTIzODBkODBkNjMxMGQ0ZDhjOTU1ZTMxOGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
347d6f10811e,10019298,Babcock Preserve Loop,AllTrails,4.1,246.0,433,1,85.0,Loop,,4.2,702,Babcock Preserve,Connecticut,United States,41.10297,-73.63164,https://www.alltrails.com/trail/us/new-york/babcock-preserve-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzE2NjM3OTkvOGYyNWYxYTM5NWVmYjQ0YjBmN2M1MzI1YmMxMjI4MTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
e97b3a394e8b,10303764,Ridge Run Trail to River Road  Loop,AllTrails,2.5,190.0,226,3,55.0,Loop,,4.5,436,Mianus River Park,Connecticut,United States,41.08081,-73.5806,https://www.alltrails.com/trail/us/connecticut/ridge-run-trail-to-river-road-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTEzNjczNTMvNWZkOWJjZDc5Y2JjNmZmMjMyNzM5NDhiMWZjZGRhYzEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
07a2e90b95c9,10376307,Montgomery Pinetum Loops,AllTrails,1.9,164.0,114,3,43.0,Loop,,4.3,501,Montgomery Pinetum Park,Connecticut,United States,41.05321,-73.59604,https://www.alltrails.com/trail/us/connecticut/montgomery-pinetum,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI0MjIzMDgvZDdmZGQ2MDZiMTFhMDVkYTk0NjFhZjQyYzdlMGIxZTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
134ae7d6b48f,10301884,Riverwalk Trail to Indian Mill Trail Loop,AllTrails,1.5,147.0,203,3,35.0,Loop,,4.5,436,Mianus River State Park,Connecticut,United States,41.08089,-73.58055,https://www.alltrails.com/trail/us/connecticut/riverwalk-trail-to-indian-mill-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDE4OTY2MDkvZDBmNDY3N2E1MGY3ZjY2MzYzMzhkODVlNjI1OTFjNWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
936fc96cb24a,10033477,Sherwood Island Trail,AllTrails,2.9,35.0,26,1,52.0,Out & Back,,4.4,402,Sherwood Island State Park,Connecticut,United States,41.11335,-73.33515,https://www.alltrails.com/trail/us/connecticut/sherwood-island-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI2MzQ2MTgvNjhkNWNhYTExNzNmODhhMzJiNmVhMjA5MjBlMzJjNDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6ac60d2ddec7,10278501,Tod's Point,AllTrails,2.6,29.0,13,1,46.0,Loop,,4.6,356,Greenwich Point Park,Connecticut,United States,41.00829,-73.57054,https://www.alltrails.com/trail/us/connecticut/tods-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjkxODk0OTcvZGQ2MzAzZTcxZDUwYWQxYzAyOGM1NGJjZjljOTRhY2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
07d9b318209f,11046271,"Main, Oak, Deer, Treehouse, Poplar, Fishermans, and NE Passage Trail",AllTrails,3.8,222.0,223,1,78.0,Loop,,4.6,262,Mianus River Park,Connecticut,United States,41.08091,-73.59499,https://www.alltrails.com/trail/us/connecticut/main-road-oak-deer-treehouse-poplar-fishermans-and-northeast-passage-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ2MTc2NTUvNzk5Yzg1ZmY3NzlmNDljODQ5MDBjNGI5MWNiYWIxOWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
bd0180136b81,10029108,Greenwich Audubon Center Trail,AllTrails,1.8,182.0,498,3,42.0,Loop,,4.3,208,Audubon Greenwich,Connecticut,United States,41.09679,-73.68819,https://www.alltrails.com/trail/us/connecticut/greenwich-audubon-center-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk0NTQwMjkvNTc4ZDdjMGM1ZjQ3NDViZTBjYzM5OTNmYzBmZWJlMjAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c80e9ca1e7b3,11135080,"Yellow Birch, Sunset, and Mountain Laurel Trail Loop",AllTrails,2.2,127.0,419,1,45.0,Loop,,4.2,281,Babcock Preserve,Connecticut,United States,41.10298,-73.63168,https://www.alltrails.com/trail/us/connecticut/yellow-birch-sunset-and-mountain-laurel-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcxOTM3ODcvNjc3M2NlZWZlNDg3NDRiN2I5OTM2NmM2NmE4Y2VjYjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5bfa72a4fd65,10244214,Waveny Trail,AllTrails,1.4,65.0,331,1,28.0,Loop,,4.4,312,Waveny Park,Connecticut,United States,41.12318,-73.49037,https://www.alltrails.com/trail/us/connecticut/waveny-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM2NzIwNDIvZmMwYzcxNGY5ZjE5NWVmYmNmZTYwNmJkZWNmYzYyNDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
3b0e3e943b19,10249900,Cranbury Park Trail,AllTrails,1.5,113.0,269,1,33.0,Loop,,4.3,404,Cranbury Park,Connecticut,United States,41.16174,-73.4061,https://www.alltrails.com/trail/us/connecticut/cranbury-park-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTE2OTcxOTEvYmZmZThhM2MyZmQxNGI5MDNiZDRiMjgwMDEzZTA1MDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f7fbd4b6ddbd,10041672,Bartlett Arboretum Trail,AllTrails,1.1,54.0,246,1,23.0,Loop,,4.5,216,,Connecticut,United States,41.13469,-73.55271,https://www.alltrails.com/trail/us/connecticut/bartlett-arboretum-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDM1MjgyOTIvMTE4ZTk0NGExNTVlZWFkNmQ0NDczYTVlOGIzY2ExZWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
