Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
53490bdc6598,Prickly Pear Trail,AllTrails,3.5,19.0,6,1,61,Loop,4.5,Delaware Seashore State Park,Delaware,United States,38.56369,-75.07281,1033,https://www.alltrails.com/trail/us/delaware/prickly-pear-trail--4,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc2NzQ2NzgvYjZlNjBhNDAzZmM4YTg0ZTMwNTljM2Q0YzZhNDNhYmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
fe0805ddad7b,Bob Trail Full Loop,AllTrails,4.5,39.0,42,1,79,Loop,4.6,Trap Pond State Park,Delaware,United States,38.52592,-75.48079,629,https://www.alltrails.com/trail/us/delaware/bob-trail-full-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU1MDcxMTEvNjc3ZWM3MDhhODJlNGVkNWIzZTQyZjZjNDhlOTE4OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e7f63f9acab2,James Farm Ecological Preserve Loop Trail,AllTrails,1.6,26.0,16,1,29,Loop,4.5,James Farm Ecological Preserve,Delaware,United States,38.57488,-75.07959,327,https://www.alltrails.com/trail/us/delaware/james-farm-ecological-preserve-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTU2ODEyODIvOWQ1ODRiZjBjY2VjY2M0YmNmZDg4MDAwOWJhODgwZTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
6dd40923ea5d,Burton's Island Loop,AllTrails,1.3,8.0,6,1,23,Loop,4.1,Delaware Seashore State Park,Delaware,United States,38.61606,-75.07205,307,https://www.alltrails.com/trail/us/delaware/burtons-island-loop-delaware-seashore-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc2NjEyNzcvMGZhZWJhMDhkMGRkYzY3NGNhYjU2MTlmZjQ5ZTBmMTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
a1551d09a774,Trap Pond Loop,AllTrails,5.0,44.0,42,1,88,Loop,4.4,Trap Pond State Park,Delaware,United States,38.52532,-75.47813,277,https://www.alltrails.com/trail/us/delaware/trap-pond-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ1NTgwNzgvZjQzOGM0ZWU4NzgzNWJjYTI3ZmZiYTM1YzE5YTBhYTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
2a4df78c637e,Seahawk Nature Trail,AllTrails,1.3,8.0,9,1,23,Loop,4.5,Holts Landing State Park,Delaware,United States,38.59062,-75.12876,262,https://www.alltrails.com/trail/us/delaware/seahawk-nature-trail-holts-landing-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDUwNDE1OTMvYzIzY2UxZGEwMzBiNjU4YzMyZWU2MTFkZTgxYWIzNzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d74499fe42fb,Assawoman Canal Trail,AllTrails,2.0,32.0,13,1,36,Out & Back,4.1,,Delaware,United States,38.5431,-75.08186,177,https://www.alltrails.com/trail/us/delaware/assawoman-canal-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY3NTA0OTIvMTZiYjllMmRiMzg1NTU2MDBjNjllZjQzODFmZmQ2NGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5bd973e75e02,Fred Hudson Road Trail,AllTrails,4.3,26.0,13,1,75,Out & Back,4.3,Delaware Seashore State Park,Delaware,United States,38.56388,-75.07269,117,https://www.alltrails.com/trail/us/delaware/fred-hudson-road-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzgxMzE5ODQvNmRjY2UwY2RiMzY1MTFhNjZjY2QzM2ZmNTYyZmU1MGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b760642516d5,Huckleberry and Bob Trail Loop,AllTrails,3.9,29.0,42,1,68,Loop,4.6,Trap Pond State Park,Delaware,United States,38.52531,-75.48047,57,https://www.alltrails.com/trail/us/delaware/huckleberry-and-bob-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzIxMzA3NjkvMTQ1ZjllMWI3M2YzYWMyM2NiMzMyM2I5ZWQxNWQ5OGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
057cf83fc343,American Holly Trail,AllTrails,1.8,19.0,42,1,32,Out & Back,4.5,Trap Pond State Park,Delaware,United States,38.52543,-75.48082,40,https://www.alltrails.com/trail/us/delaware/american-holly-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg4OTExODYvYjU1OTIxMTI0ZmY0NThjODE4OTVjZmY5MzUwMGY0OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e91246a2d157,James Farm: Purple Loop,AllTrails,1.2,21.0,13,1,22,Loop,4.2,James Farm Ecological Preserve,Delaware,United States,38.57499,-75.07959,26,https://www.alltrails.com/trail/us/delaware/james-farm-purple-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjExMDc5NTgvZTdlMjQ3ZjNlNjJkZjJmZWM2MDQ0MTI4MTY5NjU0NDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
15148df1056f,Poplar Thicket Farm Main Loop,AllTrails,1.6,3.0,6,1,27,Loop,4.5,Marian R. Okie Memorial Wildlife Preserve - Poplar Thicket Tract,Delaware,United States,38.61895,-75.11786,19,https://www.alltrails.com/trail/us/delaware/poplar-thicket-farm-main-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU5MDA1NjUvMzgzMGQ1NjJhOTM3ZjMwOWY3OTVlNmIyMTQwYmU1NDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
866c29b48718,Pershing Cove Trail,AllTrails,1.7,16.0,9,1,30,Out & Back,3.1,Assawoman Wildlife Management Area - Piney Point Tract,Delaware,United States,38.57328,-75.19543,11,https://www.alltrails.com/trail/us/delaware/pershing-cove-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ2Njg5NzAvYmI4MWZkZDc5ZDQzM2VkNmViMWE3MWZjYTcyYjY4ZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
dd2b645e944d,Nanticoke Wildlife Area Trail,AllTrails,2.1,19.0,32,1,37,Out & Back,2.5,Nanticoke Park Wildlife Area,Delaware,United States,38.54752,-75.65873,5,https://www.alltrails.com/trail/us/delaware/nanticoke-wildlife-area-trail,,2024-04-02
80421e2fd9d5,Gordons Pond Trail,AllTrails,6.4,54.0,19,1,112,Out & Back,4.6,Cape Henlopen State Park,Delaware,United States,38.74155,-75.08186,1606,https://www.alltrails.com/trail/us/delaware/gordons-pond-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTc3ODYwMjUvNjc3YTdkM2U2NTM0MmNiMDkwNDdiZGUwNWMzZDkwZDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
