Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
22179c799db5,10272970,Prickly Pear Trail,AllTrails,3.5,19.0,6,1,61,Loop,,4.5,1075,,Delaware,United States,38.56369,-75.07281,https://www.alltrails.com/trail/us/delaware/prickly-pear-trail--4,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc2NzQ2NzgvYjZlNjBhNDAzZmM4YTg0ZTMwNTljM2Q0YzZhNDNhYmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b072cd04513d,10280790,Bob Trail Full Loop,AllTrails,4.5,39.0,42,1,79,Loop,,4.6,648,Trap Pond State Park,Delaware,United States,38.52592,-75.48079,https://www.alltrails.com/trail/us/delaware/bob-trail-full-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU1MDcxMTEvNjc3ZWM3MDhhODJlNGVkNWIzZTQyZjZjNDhlOTE4OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c1e577ed9856,10270072,James Farm Ecological Preserve Loop Trail,AllTrails,1.6,26.0,16,1,29,Loop,,4.5,337,James Farm Ecological Preserve,Delaware,United States,38.57488,-75.07959,https://www.alltrails.com/trail/us/delaware/james-farm-ecological-preserve-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTU2ODEyODIvOWQ1ODRiZjBjY2VjY2M0YmNmZDg4MDAwOWJhODgwZTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c870ee5e6826,10020147,Burton's Island Loop,AllTrails,1.3,8.0,6,1,23,Loop,,4.1,311,Delaware Seashore State Park,Delaware,United States,38.61606,-75.07205,https://www.alltrails.com/trail/us/delaware/burtons-island-loop-delaware-seashore-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE2MTg4NDkvYmNhNDFjOGRkOGY1M2QyZDE5MTFjYmMwNGNiZTI5YTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
3bb463e4cd7b,10022143,Trap Pond Loop,AllTrails,5.0,44.0,42,1,88,Loop,,4.5,282,Trap Pond State Park,Delaware,United States,38.52532,-75.47813,https://www.alltrails.com/trail/us/delaware/trap-pond-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ1NTgwNzgvZjQzOGM0ZWU4NzgzNWJjYTI3ZmZiYTM1YzE5YTBhYTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
815661bc9806,10030693,Seahawk Nature Trail,AllTrails,1.3,8.0,9,1,23,Loop,,4.5,270,Holts Landing State Park,Delaware,United States,38.59062,-75.12876,https://www.alltrails.com/trail/us/delaware/seahawk-nature-trail-holts-landing-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQ3MDg2MjEvNWNmNDgwZTdkOTQzYjMzNDQ0MGJjNzFhMjEzODU4ZmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ed95d01bba20,10271156,Assawoman Canal Trail,AllTrails,2.0,32.0,13,1,36,Out & Back,,4.1,179,,Delaware,United States,38.5431,-75.08186,https://www.alltrails.com/trail/us/delaware/assawoman-canal-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY3NTA0OTIvMTZiYjllMmRiMzg1NTU2MDBjNjllZjQzODFmZmQ2NGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
14fa1eeb8912,10916678,Fred Hudson Road Trail,AllTrails,4.3,26.0,13,1,75,Out & Back,,4.3,118,,Delaware,United States,38.56388,-75.07269,https://www.alltrails.com/trail/us/delaware/fred-hudson-road-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA1MDg5OTQvOTM0YjZjNTA4YjdkODA5NTZmZGQ4YTQ3NWM1NjFhYTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
124b975f26fb,10426028,Huckleberry and Bob Trail Loop,AllTrails,3.9,29.0,42,1,68,Loop,,4.6,59,Trap Pond State Park,Delaware,United States,38.52531,-75.48047,https://www.alltrails.com/trail/us/delaware/huckleberry-and-bob-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI1NDI0NDcvODlkNWJhMWUxOWI5NmQzZGIyMDIyMGFiMThmMzExZjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b135058fe850,10669778,American Holly Trail,AllTrails,1.8,19.0,42,1,32,Out & Back,,4.5,41,Trap Pond State Park,Delaware,United States,38.52543,-75.48082,https://www.alltrails.com/trail/us/delaware/american-holly-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY3MzY3NTUvMGUwYWE2Y2YyOGUwNTUwNGU0MTM5N2VkYWQwMTI4MzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
82d39f6e8b68,10916680,James Farm: Purple Loop,AllTrails,1.2,21.0,13,1,22,Loop,,4.2,27,James Farm Ecological Preserve,Delaware,United States,38.57499,-75.07959,https://www.alltrails.com/trail/us/delaware/james-farm-purple-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDAxMDM2NjUvMDk4MjdhNDlhNjcyYTAyMjY5ZjdhN2JiNzNlZmY3ZDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5997e3bc2b37,11193077,Poplar Thicket Farm Main Loop,AllTrails,1.6,3.0,6,1,27,Loop,,4.5,21,Marian R. Okie Memorial Wildlife Preserve - Poplar Thicket Tract,Delaware,United States,38.61895,-75.11786,https://www.alltrails.com/trail/us/delaware/poplar-thicket-farm-main-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU5MDA1NjUvMzgzMGQ1NjJhOTM3ZjMwOWY3OTVlNmIyMTQwYmU1NDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6b1aa7568094,11275150,Assawoman Wildlife Area Miller Creek Trail,AllTrails,1.3,6.0,3,1,22,Out & Back,,4.5,11,Assawoman Wildlife Management Area - Miller Neck Tract,Delaware,United States,38.49327,-75.08044,https://www.alltrails.com/trail/us/delaware/assawoman-wildlife-area-miller-creek-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzE0NTg1MDgvMzBhM2Y4NzI0ZWYwZmI3ZWE2ZTA2MmRkZDA0MjViOGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6b4c8cf12dc3,10987616,Pershing Cove Trail,AllTrails,1.7,16.0,9,1,30,Out & Back,,3.1,11,Assawoman Wildlife Management Area - Piney Point Tract,Delaware,United States,38.57328,-75.19543,https://www.alltrails.com/trail/us/delaware/pershing-cove-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ2Njg5NzAvYmI4MWZkZDc5ZDQzM2VkNmViMWE3MWZjYTcyYjY4ZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
