Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
c2a3afccf359,"Southern Loop via Western Ridge Trail, Rock Creek, Valley Trail",AllTrails,5.6,685,344,3,139,Loop,4.5,Rock Creek Park,District of Columbia,United States,38.95983,-77.05228,2411,https://www.alltrails.com/trail/us/washington-dc/western-ridge-trail-rock-creek-valley-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM3MDE3ODQvOWZlZmJlMTlkNjQwNjZlY2NkNjFjNjcyNmExODIxNTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
856037a6ec12,Boulder Bridge Loop,AllTrails,3.0,341,344,1,73,Loop,4.6,Rock Creek Park,District of Columbia,United States,38.95985,-77.05203,1995,https://www.alltrails.com/trail/us/washington-dc/boulder-bridge-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc5MDA5NDIvYTM3NTA0MjEzMTAyYWExZWE3NmExYjk0OThhOGE4MmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5a19dcb06903,Rapids Bridge via White Horse and Black Horse Trail,AllTrails,2.2,249,344,1,53,Loop,4.6,Rock Creek Park,District of Columbia,United States,38.95977,-77.05196,936,https://www.alltrails.com/trail/us/maryland/rapids-bridge-and-capitol-ruins,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcwNDcxODgvZTc1MTVmOWI1Y2Y1MmM5OWRlZjFlYWZkYWQ1MDkyMDYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
fdb3eaa0c5b5,Rock Creek Valley Trail Loop,AllTrails,4.4,435,203,3,103,Loop,4.7,Rock Creek Park,District of Columbia,United States,38.93987,-77.05253,698,https://www.alltrails.com/trail/us/washington-dc/rock-creek-valley-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk3NTgzODgvOTMyNjhkMTMzYzI2MWU4NmFiMTgzMjZmOGQ4MTc2NGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0fddc44fceb7,Tidal Basin and Hains Point,AllTrails,5.3,29,9,1,92,Loop,4.5,West Potomac Park,District of Columbia,United States,38.88389,-77.04429,911,https://www.alltrails.com/trail/us/washington-dc/tidal-basin-and-hains-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI0OTM2ODQvM2RhMTM1OWQwMGM0NTljMGJhNDZmNTYwZDA1NWEwMTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b6992e5112d2,"Valley Trail, Holly Trail, Pine Trail, Muddy Trail",AllTrails,4.0,269,308,3,85,Loop,4.6,Rock Creek Park,District of Columbia,United States,38.98628,-77.05328,591,https://www.alltrails.com/trail/us/washington-dc/valley-trail-holly-trail-pine-trail-muddy-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjExMTQ2NzkvZWQ0NDRlMTI2ODM3ODYwYzI4YWFiZTk5MWZhNGRmZTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
007e56d8d42f,Western Ridge Trail to Valley Trail and Fort de Russy,AllTrails,4.5,508,344,1,109,Loop,4.7,Rock Creek Park,District of Columbia,United States,38.95923,-77.05216,502,https://www.alltrails.com/trail/us/washington-dc/western-ridge-trail-to-valley-trail-and-fort-de-russy,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI5MDQ5NDUvOTNmYTRiOWZjZmQ3OTBkYTAxNTdmNmJlYjRkYzQwN2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
3c73c8a568e3,Rock Creek Park Valley and Ridge Loop,AllTrails,10.0,1056,344,3,238,Loop,4.6,Rock Creek Park,District of Columbia,United States,38.95989,-77.05178,490,https://www.alltrails.com/trail/us/washington-dc/rock-creek-loop-western-ridge-and-valley-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjczMzQ2MDUvYTc4YjEyOTc4YzYyNTE0NjA2ZjljMTNjZmEyN2VmMGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0a125bacf98b,Rock Creek Trail,AllTrails,8.8,400,157,1,175,Out & Back,4.4,Rock Creek & Potomac Parkway Park,District of Columbia,United States,38.90094,-77.05808,431,https://www.alltrails.com/trail/us/washington-dc/rock-creek-park-bike-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM4NDE0MDAvMDhiNDc1NTc0ZWFiNGRmZGVjZTg2ZTE5N2NkNGVmNmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
1f06649ebdd0,"Valley, Holly, and Pine Trail Loop",AllTrails,2.2,218,311,1,51,Loop,4.6,Rock Creek Park,District of Columbia,United States,38.98336,-77.03979,296,https://www.alltrails.com/trail/us/washington-dc/valley-holly-and-pine-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc4Mjg3MTMvNzY1NGM5NGZlNTQwM2YyYTJjMjBhNDc5ODc5ZGU3M2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
