Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
bd3e89229d1c,10004295,"Southern Loop via Western Ridge Trail, Rock Creek, Valley Trail",AllTrails,5.6,685,344,3,139,Loop,,4.6,2473,Rock Creek Park,District of Columbia,United States,38.95983,-77.05228,https://www.alltrails.com/trail/us/washington-dc/western-ridge-trail-rock-creek-valley-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgwMTc0NjAvYjRkNDExYTczZWYzMTMwMjliMTY3Zjc4M2M3MTRhMzkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
63cb6e1d4ea4,10258619,Boulder Bridge Loop,AllTrails,3.0,341,344,1,73,Loop,,4.6,2053,Rock Creek Park,District of Columbia,United States,38.95985,-77.05203,https://www.alltrails.com/trail/us/washington-dc/boulder-bridge-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM2MTQ1MjcvNmU2ZDM4NTRjZGViZjBkODRlMGJjN2Q2MzVjZDI0M2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5c6a11034471,10258617,Rapids Bridge via White Horse and Black Horse Trail,AllTrails,2.2,249,344,1,53,Loop,,4.6,965,Rock Creek Park,District of Columbia,United States,38.95977,-77.05196,https://www.alltrails.com/trail/us/maryland/rapids-bridge-and-capitol-ruins,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcwNDcxODgvZTc1MTVmOWI1Y2Y1MmM5OWRlZjFlYWZkYWQ1MDkyMDYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
2dd9119011f3,10732335,Rock Creek Valley Trail Loop,AllTrails,4.4,435,203,3,103,Loop,,4.7,740,Rock Creek Park,District of Columbia,United States,38.93987,-77.05253,https://www.alltrails.com/trail/us/washington-dc/rock-creek-valley-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk3NTgzODgvOTMyNjhkMTMzYzI2MWU4NmFiMTgzMjZmOGQ4MTc2NGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6884be6253b5,10258610,Tidal Basin and Hains Point,AllTrails,5.3,29,9,1,92,Loop,,4.5,930,West Potomac Park,District of Columbia,United States,38.88389,-77.04429,https://www.alltrails.com/trail/us/washington-dc/tidal-basin-and-hains-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI0OTM2ODQvM2RhMTM1OWQwMGM0NTljMGJhNDZmNTYwZDA1NWEwMTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
bfc725d6c501,10341217,"Valley Trail, Holly Trail, Pine Trail, Muddy Trail",AllTrails,4.0,269,308,3,85,Loop,,4.6,600,Rock Creek Park,District of Columbia,United States,38.98628,-77.05328,https://www.alltrails.com/trail/us/washington-dc/valley-trail-holly-trail-pine-trail-muddy-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzYxMTA5ODgvMDFkYmNjMjg4MWI3Y2I2YjkyNjlkNzE1NjZlYThlMmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
712973f40a51,10332244,Western Ridge Trail to Valley Trail and Fort de Russy,AllTrails,4.5,508,344,1,109,Loop,,4.7,510,Rock Creek Park,District of Columbia,United States,38.95923,-77.05216,https://www.alltrails.com/trail/us/washington-dc/western-ridge-trail-to-valley-trail-and-fort-de-russy,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI5MDQ5NDUvOTNmYTRiOWZjZmQ3OTBkYTAxNTdmNmJlYjRkYzQwN2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
64887a149833,10582085,Rock Creek Park Valley and Ridge Loop,AllTrails,10.0,1056,344,3,238,Loop,,4.6,497,Rock Creek Park,District of Columbia,United States,38.95989,-77.05178,https://www.alltrails.com/trail/us/washington-dc/rock-creek-loop-western-ridge-and-valley-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjczMzQ2MDUvYTc4YjEyOTc4YzYyNTE0NjA2ZjljMTNjZmEyN2VmMGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4b0d336c8476,10009668,Rock Creek Trail,AllTrails,8.8,400,157,1,175,Out & Back,,4.4,437,Rock Creek & Potomac Parkway Park,District of Columbia,United States,38.90094,-77.05808,https://www.alltrails.com/trail/us/washington-dc/rock-creek-park-bike-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI5MDgwNzEvMWNkOWZhMDZiYjU4YjBlOGFlMWRiZWUxNjQ3YzQ3MDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ebbe4ea5ab11,10360923,"Valley, Holly, and Pine Trail Loop",AllTrails,2.2,218,311,1,51,Loop,,4.6,303,Rock Creek Park,District of Columbia,United States,38.98336,-77.03979,https://www.alltrails.com/trail/us/washington-dc/valley-holly-and-pine-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc4Mjg3MTMvNzY1NGM5NGZlNTQwM2YyYTJjMjBhNDc5ODc5ZGU3M2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
