Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
09139d10852f,10252049,Papakolea Green Sand Beach,AllTrails,5.6,321.0,127,3,116.0,Out & Back,,4.5,3477,,Hawaii,Hawaii,18.92155,-155.67303,https://www.alltrails.com/trail/hawaii/hawaii/papakolea-green-sand-beach,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjU4NTI4NzYvNWI5MTkzZjZmOTNlYWFlZjQ4ODkzY2Q1ZTNmNjA2ZmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
a68f572c5c5c,10314484,South Point,AllTrails,0.5,21.0,42,1,10.0,Out & Back,,4.4,260,,Hawaii,Hawaii,18.91462,-155.68257,https://www.alltrails.com/trail/hawaii/hawaii/south-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDM3MjY4NzkvZmFiZTZlMDhkZjdkOTU0NjlhNTI2MjY1ZDllNGY1OTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
32ffdad2db84,10353301,Pu’u o Lokuana Loop,AllTrails,1.5,179.0,2293,1,36.0,Loop,,4.5,118,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.06516,-155.67845,https://www.alltrails.com/trail/hawaii/hawaii/pu-u-o-lokuana-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjU2NDAxMDQvM2Q1YmE5NWUwZDJjMGQyMmUyYjQ1N2FmNjNkMDQyNjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
763c327d0d48,10589909,Pit Crater,AllTrails,4.8,1150.0,4120,3,155.0,Out & Back,,4.6,80,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.10187,-155.6909,https://www.alltrails.com/trail/hawaii/hawaii/pit-crater,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ4NDkyNTUvZWFmYzhiZTNhZDMxMWQzOTIyZDJlNGUyZWY5MGZiNTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ac484277a898,10033338,Manuka Nature Trail,AllTrails,2.2,353.0,2181,3,59.0,Loop,,3.7,83,Manukā State Wayside,Hawaii,Hawaii,19.10969,-155.82548,https://www.alltrails.com/trail/hawaii/hawaii/manuka-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQyMTAyMjUvM2I2YWU3Y2FkYWEzN2JlOTRjYzMwZjA4Y2FhZmQ1NmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
caf4ea36b65c,10332755,Palm Trail,AllTrails,2.7,373.0,2847,1,70.0,Loop,,4.3,68,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.08609,-155.68402,https://www.alltrails.com/trail/hawaii/hawaii/palm-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDYyNDM2MjUvZmM2NWY5ODdmYTk3MGQxZjk4MDM5MjVhZWI4NzRmOTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
65176eee36e5,10769030,Kamakapa'a Trail,AllTrails,0.6,59.0,2339,1,14.0,Loop,,4.5,28,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.07152,-155.67922,https://www.alltrails.com/trail/hawaii/hawaii/kamakapa-a-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDcxNjkyNzUvODEwOGNiMTEzM2ZkM2FhYTdhNGYyYjkwZGI2NDEyNjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f0e68068cd25,10589600,Kāheawai Trail,AllTrails,13.6,1984.0,1971,7,358.0,Out & Back,,4.0,14,,Hawaii,Hawaii,19.09789,-155.80669,https://www.alltrails.com/trail/hawaii/hawaii/kaheawai-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzI0ODkwMDIvMWZlYzQxZjhkZDYwYjcwOWZjNDk2ZmU5MDJiYzI2ZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
0675fce5a987,10012920,Pu'uloa Petroglyphs Trail,AllTrails,1.2,35.0,177,1,23.0,Out & Back,,4.4,829,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.28898,-155.12998,https://www.alltrails.com/trail/hawaii/hawaii/puu-loa-petroglyphs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY0MDkyOTUvZjFlYzJiYTk4M2NiYzI0MGFjNjU0MmNjZTczODdkNzcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
dc303a9bb346,10027795,Apua Point via Puna Kau Trail,AllTrails,10.6,416.0,160,3,206.0,Out & Back,,4.5,113,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.28889,-155.13008,https://www.alltrails.com/trail/hawaii/hawaii/apua-point-via-puna-kau-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTg2MjgxNzAvZWQ5MWY4NWRiNzE2OTAyNDg2ZDEzZWI0NTNhY2JjNzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
