Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
401141252462,South Fork Circle Creek and North Fork Circle Loop,AllTrails,6.3,1419.0,7247,3,198.0,Loop,4.8,City of Rocks National Reserve,Idaho,United States,42.08358,-113.72434,229,https://www.alltrails.com/trail/us/idaho/south-fork-circle-creek-bumblie-wall-stripe-rock-and-north-fork-circle-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ4NzkxMDUvMTNiOTA2YjEyOTUwMDcyYTMzYzk1OTkyZDkyZTQ1MTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
2065df8e512c,Creekside Towers Trail,AllTrails,1.4,410.0,6548,3,50.0,Loop,4.6,City of Rocks National Reserve,Idaho,United States,42.07618,-113.72161,167,https://www.alltrails.com/trail/us/idaho/creekside-towers-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA3NTAwNDUvNzJiMTg0NWUxYjBkYmRhY2VkMTc1MDM0MWVjYjQ4ZWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
a8060c9e4138,Bloomington Lake Trail,AllTrails,1.6,187.0,8313,1,39.0,Out & Back,4.5,Caribou-Targhee National Forest,Idaho,United States,42.1494,-111.58366,237,https://www.alltrails.com/trail/us/idaho/bloomington-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc3OTQ1NTAvMTExMGY3Yjk1NDdhZmEzZDgxOGM3M2VlZmUxZDYwZDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
7a5cba24cf25,Castle Rocks Trail,AllTrails,5.9,994.0,6706,3,164.0,Loop,4.6,Castle Rocks State Park,Idaho,United States,42.12579,-113.66134,124,https://www.alltrails.com/trail/us/idaho/castle-rocks-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjU0OTk5ODAvMzQ1ZWE0MDZmOGJkMGUzZWQ2MmYwNmI2OTA4ODYzYWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8f0c7eac9b8f,Eagle Loop,AllTrails,2.4,353.0,7178,1,63.0,Loop,4.6,Sawtooth National Forest,Idaho,United States,42.18252,-114.28209,86,https://www.alltrails.com/trail/us/idaho/eagle-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjMxMjQyMTYvZDBhYjc2NTc5ZGU2ODQzOGY5MDhmM2E5NDEzNTE4NGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d7ce43dae132,Boxtop Loop Trail,AllTrails,3.0,646.0,6322,3,92.0,Loop,4.5,City of Rocks National Reserve,Idaho,United States,42.07088,-113.70713,54,https://www.alltrails.com/trail/us/idaho/boxtop-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg4NDU1NzgvMmIzZjExYTQwNTA3ODY5M2M5ZmM4MjE0NWM1ZTE5ZGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d43c3723351b,North Fork Trail to Snowslide Trail,AllTrails,3.9,606.0,7483,1,105.0,Out & Back,4.5,Caribou-Targhee National Forest,Idaho,United States,42.0972,-111.53372,63,https://www.alltrails.com/trail/us/idaho/north-fork-trail-to-snowslide-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc5MzE2MDcvNDE2NzE0ZTQ3MWI0NDkwNjcyZTI3N2NmNzA3YTFhZGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b3f2cb69c421,Around The Rock Trail,AllTrails,1.1,150.0,6085,3,28.0,Loop,4.5,Castle Rocks State Park,Idaho,United States,42.1252,-113.66853,48,https://www.alltrails.com/trail/us/idaho/around-the-rock-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjU0OTk5ODUvYmYzMTgxMjQ4YTc3ZGQxNDBlY2Y5ZjgyOTY5NmQzNGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5d58b08714e1,Teepee Rocks,AllTrails,1.8,225.0,5485,3,45.0,Out & Back,4.8,Sawtooth National Forest,Idaho,United States,42.14212,-114.06935,37,https://www.alltrails.com/trail/us/idaho/teepee-rocks,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDEyODc3MDMvODVjN2JiMTNiMDExMDZkZDczZjhiMzliYjdiZmRhMjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5b8588df7b81,Window Arch Trail,AllTrails,0.1,3.0,6391,1,2.0,Out & Back,4.6,City of Rocks National Reserve,Idaho,United States,42.07459,-113.71818,31,https://www.alltrails.com/trail/us/idaho/window-arch-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk4MDAyMDcvOTNiOGMwYTEyZTg3MmFmMDY3YjQ1N2U4MzE4ZjExY2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
