Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
99a57a1912c0,Tall Grass Prairie Trail,AllTrails,0.6,19.0,541,1,11.0,Loop,4.6,Lee County Conservation Center,Iowa,United States,40.57287,-91.42579,3,https://www.alltrails.com/trail/us/iowa/tall-grass-prairie-trail,,2024-04-02
4e0fcbcb8c71,River Trail,AllTrails,1.0,13.0,538,1,18.0,Out & Back,2.6,Lee County Conservation Center,Iowa,United States,40.57289,-91.42576,2,https://www.alltrails.com/trail/us/iowa/lee-county-conservation-center-river-trail-loop,,2024-04-02
f3a6b781ca43,Mincer Trail and Sunset Ridge Trail Loop,AllTrails,2.0,305.0,1256,1,53.0,Loop,4.6,Waubonsie State Park,Iowa,United States,40.667,-95.69513,253,https://www.alltrails.com/trail/us/iowa/mincer-trail-and-sunset-ridge-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyNjkwOTkvYjI1NTFlYWEyNjdkOWFmZDJkNTAxMjZiMzZkYzYwNWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e5008c2fd128,Lacey Keosauqua Lake Trail,AllTrails,2.1,150.0,688,1,45.0,Loop,4.6,Lacey Keosauqua State Park,Iowa,United States,40.71157,-91.97066,109,https://www.alltrails.com/trail/us/iowa/lacey-keosauqua-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI3NDgzMDIvM2JkNjQ4MTI0MzgwZGYxYjI5YTViODY5MDk4YjIyNjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
626d301bc637,Lacey-Keosauqua River Trail,AllTrails,4.4,485.0,649,1,106.0,Out & Back,4.5,Lacey Keosauqua State Park,Iowa,United States,40.72027,-91.99213,62,https://www.alltrails.com/trail/us/iowa/lacey-keosauqua-river-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcxOTgxOTMvOGRiMzE3NDg2MjJlNGY5YjE1MTI1YzMwZTA0YWFkODMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5b40a9ab2489,Shimek Forest Trail,AllTrails,4.1,363.0,715,3,93.0,Loop,4.1,Shimek State Forest,Iowa,United States,40.64117,-91.71241,43,https://www.alltrails.com/trail/us/iowa/shimek-forest-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzExMDkyNDIvOGQwNDczYmM2MmJkMGM4ZTVjYjRjY2RiZjc4ZTZmODEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0160cca9c525,Lake of Three Fires Loop,AllTrails,2.9,124.0,1210,3,57.0,Loop,4.5,Lake of Three Fires State Park,Iowa,United States,40.70864,-94.68986,55,https://www.alltrails.com/trail/us/iowa/lake-of-three-fires-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE1NTM2MTkvMzhlZDFkOWNkZTMzYTIwOGUyNWFlNTVjOThhYTc1MDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5a45f4154799,Campground Trail and Lake Trail Loop,AllTrails,3.0,193.0,1017,1,63.0,Loop,4.2,Nine Eagles State Park,Iowa,United States,40.59866,-93.76788,33,https://www.alltrails.com/trail/us/iowa/campground-trail-and-lake-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTUyMjg3MDQvN2Y4MmUwYjYwOTI0MjI5MzMyMTg5MGUwMDQ2MDUyYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d55ffce494ff,"Spur, Lake, and North Trails Loop",AllTrails,5.8,441.0,1092,3,127.0,Loop,4.3,Nine Eagles State Park,Iowa,United States,40.60454,-93.75446,33,https://www.alltrails.com/trail/us/iowa/spur-lake-and-north-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjEzNDg3MTAvZWQ1MWNiNjQ0ZjE4MjQ1ZjJkNzJiMGRjYTlkZDc0ODYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
ebaf326d7bdb,Zen Pool,AllTrails,0.3,13.0,620,1,6.0,Out & Back,4.3,Lacey Keosauqua State Park,Iowa,United States,40.7172,-91.96295,23,https://www.alltrails.com/trail/us/iowa/zen-pool,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc1NTk5MTUvY2ZjODZiNWQxNjgzY2Q0YjZjNTMwNGY2MmJlOWNkZTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
