Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
84f60f5baff6,11115235,Tall Grass Prairie Trail,AllTrails,0.6,19.0,541,1,11.0,Loop,,4.6,3,Lee County Conservation Center,Iowa,United States,40.57287,-91.42579,https://www.alltrails.com/trail/us/iowa/tall-grass-prairie-trail,,2024-05-14
6c3cc5f36bca,11115236,River Trail,AllTrails,1.0,13.0,538,1,18.0,Out & Back,,2.6,2,Lee County Conservation Center,Iowa,United States,40.57289,-91.42576,https://www.alltrails.com/trail/us/iowa/lee-county-conservation-center-river-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDgzMDM1MTcvMzFhZTFlZDM3N2Q3YjliODUzYmUwODgwOTBmYTk3ZGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d34222c1048f,10017237,Mincer Trail and Sunset Ridge Trail Loop,AllTrails,2.0,305.0,1256,1,53.0,Loop,,4.5,258,Waubonsie State Park,Iowa,United States,40.667,-95.69513,https://www.alltrails.com/trail/us/iowa/mincer-trail-and-sunset-ridge-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTE3MDIwNTYvODRkN2IxYjkwYzg0MzU0YTQ3NjBjMDgzYjliOWViMWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d9b0ae2debd7,10025148,Lacey Keosauqua Lake Trail,AllTrails,2.1,150.0,688,1,45.0,Loop,,4.6,115,Lacey Keosauqua State Park,Iowa,United States,40.71157,-91.97066,https://www.alltrails.com/trail/us/iowa/lacey-keosauqua-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjg1ODA1NjUvZmVkOTczMjgyYjAzMDBhN2JlZjNmZDAxMTUzOTVhYTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5a7c1ae4d9e5,10913268,Lacey-Keosauqua River Trail,AllTrails,4.4,485.0,649,1,106.0,Out & Back,,4.5,63,Lacey Keosauqua State Park,Iowa,United States,40.72027,-91.99213,https://www.alltrails.com/trail/us/iowa/lacey-keosauqua-river-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY1MTkyODgvZTQwNjFiMDVkYTEzMjVmZTYyYjc1ZTEzOGUyOTQ4YTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4f40b106319e,10005627,Shimek Forest Trail,AllTrails,4.1,363.0,715,3,93.0,Loop,,4.1,44,Shimek State Forest,Iowa,United States,40.64117,-91.71241,https://www.alltrails.com/trail/us/iowa/shimek-forest-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzExMDkyNDIvOGQwNDczYmM2MmJkMGM4ZTVjYjRjY2RiZjc4ZTZmODEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
be617d7fb0a1,10024567,Lake of Three Fires Loop,AllTrails,2.9,124.0,1210,3,57.0,Loop,,4.5,56,Lake of Three Fires State Park,Iowa,United States,40.70864,-94.68986,https://www.alltrails.com/trail/us/iowa/lake-of-three-fires-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk3NDY2NzEvODc4MjQxNTY3ZDU4OTY5MzIyM2UxMzIwZjYxYzY3MmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
807a026c8ec1,10335682,Campground Trail and Lake Trail Loop,AllTrails,3.0,193.0,1017,1,63.0,Loop,,4.1,34,Nine Eagles State Park,Iowa,United States,40.59866,-93.76788,https://www.alltrails.com/trail/us/iowa/campground-trail-and-lake-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY2MTg1OTcvZTNiODcyMDYxMzExMDZiZGM3OTdhNDEyNmZiNjcxMWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
db914593b382,10341945,"Spur, Lake, and North Trails Loop",AllTrails,5.8,441.0,1092,3,127.0,Loop,,4.4,34,Nine Eagles State Park,Iowa,United States,40.60454,-93.75446,https://www.alltrails.com/trail/us/iowa/spur-lake-and-north-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTUyMjg3MDQvN2Y4MmUwYjYwOTI0MjI5MzMyMTg5MGUwMDQ2MDUyYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
cf8196864bc8,10709710,Zen Pool,AllTrails,0.3,13.0,620,1,6.0,Out & Back,,4.3,25,Lacey Keosauqua State Park,Iowa,United States,40.7172,-91.96295,https://www.alltrails.com/trail/us/iowa/zen-pool,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc1NTMxNzkvOWUyNWY5ODE2MWNmYzQzMTVkNTRjOTI2ZWNiNWI1YmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
