Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
b34f9761b08c,10366924,Tri-State Peak via Wilderness Trail,AllTrails,2.2,563.0,1965,3,73.0,Out & Back,,4.5,457,Cumberland Gap National Historical Park,Kentucky,United States,36.609,-83.67793,https://www.alltrails.com/trail/us/kentucky/tri-state-peak-via-wilderness-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTExMTM3NDgvYTU0MTJhYWMwNGEyODY2NjNmNWNkMTc3ZWY3OGRlZWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
14202a8c02e5,10000935,Blue Heron Loop Trail,AllTrails,6.3,861.0,1305,3,161.0,Loop,,4.5,310,Big South Fork National River & Recreation Area,Kentucky,United States,36.67032,-84.54763,https://www.alltrails.com/trail/us/kentucky/blue-heron-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDA5NzYzMzQvYTk3MGRjZjBhYWY0NDAzNDRkNGM0MzY3NzA5YWZjNzYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
684483c73cd1,10270759,Eagle Point,AllTrails,1.6,215.0,994,1,41.0,Out & Back,,4.5,208,Dale Hollow Lake State Resort Park,Kentucky,United States,36.64616,-85.29058,https://www.alltrails.com/trail/us/kentucky/eagle-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyOTY2MjkvN2M5ODRlZDJmN2RlMzUwOTI3ZmE1Y2RjZmQ5NjdiNWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
76df681e7798,10003579,Ridge Trail to Sugar Run Trail,AllTrails,3.4,813.0,2608,3,109.0,Out & Back,,4.5,185,Cumberland Gap National Historical Park,Kentucky,United States,36.60645,-83.66696,https://www.alltrails.com/trail/us/virginia/ridge-trail-to-sugar-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc0NTQyMzkvNjhjZjcyNjUxN2M4ZWUzMzg1ZWI3ODM1M2Y0NTFlYTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
83275f1b012d,10026398,Pinnacle Overlook Trail,AllTrails,7.8,1803.0,2604,3,248.0,Out & Back,,4.6,180,Cumberland Gap National Historical Park,Kentucky,United States,36.6331,-83.67523,https://www.alltrails.com/trail/us/kentucky/pinnacle-overlook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDAxOTc2ODUvNDY1ZmMzZTdjZjMyYjM2MzIwY2IxOTU5YTkzYmExMDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f1b4fb722b88,10330194,Split Bow Arch Loop,AllTrails,0.6,196.0,1240,3,23.0,Loop,,4.6,166,,Kentucky,United States,36.62762,-84.52611,https://www.alltrails.com/trail/us/kentucky/split-bow-arch-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkzODM0ODkvNGRmMjQ1YjUzOWIxM2YxZDU4ODUyNGQzOTc5ZjUzMmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
13395522f013,10275152,Cumberland Gap Fitness Loop,AllTrails,1.9,215.0,1325,1,46.0,Loop,,4.7,200,Cumberland Gap National Historical Park,Kentucky,United States,36.60328,-83.69641,https://www.alltrails.com/trail/us/kentucky/cumberland-gap-fitness-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUxNzkzODEvMjNkZWU2NjlmMmNjNzAwYWY0ZGQyY2UzNDhhODdlMDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ad183a99adf9,10396024,Thomas Walker Trail,AllTrails,2.5,308.0,1407,1,62.0,Out & Back,,4.3,112,Cumberland Gap National Historical Park,Kentucky,United States,36.60915,-83.67803,https://www.alltrails.com/trail/us/kentucky/thomas-walker-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjc3NDU1NjIvOTdhMjk2MDhiNGI1MWI2ZmJlNGJhMmUyYjlkZWVkNWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b2b10a2d18a8,10584120,Cumberland Gap Wilderness Trail,AllTrails,3.4,528.0,1643,3,91.0,Loop,,4.5,109,Cumberland Gap National Historical Park,Kentucky,United States,36.60915,-83.67784,https://www.alltrails.com/trail/us/tennessee/cumberland-gap-wilderness-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc2NTE2MzgvYmMyZGJjOGRkZTYzM2RmYjE1OGM0NDMzMGZiNWRhNDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
12d72778d601,10406410,Fort McCook Trail,AllTrails,1.5,553.0,2398,3,61.0,Out & Back,,4.7,109,Cumberland Gap National Historical Park,Kentucky,United States,36.60863,-83.67451,https://www.alltrails.com/trail/us/kentucky/fort-mccook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDIyMzk4MjMvMGM4OTZhYTEyMDRjYWE5NDNlNWU3MTZkYTJkMjlkZjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
