Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
4ff71c9c4fc7,Steedman Woods and Wiggly Bridge,AllTrails,1.4,42.0,19.0,1,27.0,Loop,4.5,Steedman Woods,Maine,United States,43.13392,-70.64775,176,https://www.alltrails.com/trail/us/maine/steedman-woods-and-wiggly-bridge,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIwMDc0NDkvZjFlNDM1OWQxMDUwZjFmODhhZGIyNTQzY2Q4Y2ViZGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
218309bce023,Highland Farm Preserve Loop,AllTrails,1.4,118.0,164.0,1,31.0,Loop,4.3,Highland Farm Preserve,Maine,United States,43.17186,-70.71658,286,https://www.alltrails.com/trail/us/maine/highland-farm-preserve-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI5NzAwNTgvOWY5ZDNmMDY1MzljZjRiMjA4ZmU0ZTk1ZWNjNzdkMGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
c26fcf807432,Cutts Island,AllTrails,1.8,49.0,29.0,1,33.0,Loop,4.4,Rachel Carson National Wildlife Refuge,Maine,United States,43.08798,-70.67578,180,https://www.alltrails.com/trail/us/maine/cutts-island--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY5Mjc3NDIvZWI1ZWQwYWE2NzkzM2FhOTA0ZTBkOWI4Yzg4OGQ5N2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b801521b5689,Highland Preserve Long Loop,AllTrails,2.3,203.0,190.0,1,52.0,Loop,4.4,Highland Farm Preserve,Maine,United States,43.1716,-70.71656,239,https://www.alltrails.com/trail/us/maine/highland-preserve-long-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk2MjM5MDMvOWM5MjBkODVjYjMwYjNlZWQ3MDU2MTczNzE5OGEwOTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
1ffce114859f,Remick Preserve,AllTrails,2.0,90.0,82.0,1,40.0,Out & Back,4.3,Remick Preserve,Maine,United States,43.11782,-70.7574,1277,https://www.alltrails.com/trail/us/maine/remick-preserve,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc5NzM0NTAvZjMzYTBlNmViYjFjMGZlYzFjYTZmNGQwOTUzYjVmYmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
7fcfeb68e07c,"Red Oak, Friendship, Overlook and Salamander Trail Loop",AllTrails,3.6,140.0,85.0,1,70.0,Loop,4.4,Fuller Forest Preserve,Maine,United States,43.12835,-70.67085,155,https://www.alltrails.com/trail/us/maine/red-oak-friendship-overlook-and-salamander-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI4ODI2ODMvNGNkYmQyM2FhOTkzZTEyMmQ2NDA3NjI5MjZjYjQxZmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
461e72a247c8,"Kittery Town Forest Yellow, Red, Blue Loop",AllTrails,1.6,59.0,82.0,1,31.0,Loop,4.2,Kittery Town Forest,Maine,United States,43.1194,-70.71117,140,https://www.alltrails.com/trail/us/maine/kittery-town-forest-yellow-red-blue-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE2MTQ2OTMvZDlhYjg1Y2I4ZmE3MDExMGMxNmM5NzIwNDU4N2Q5YzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
2c348a6d3083,"Graces Woods Trail, Old Farm Road Trail, and Friendship Trail Loop",AllTrails,4.0,222.0,98.0,1,82.0,Loop,4.1,Norton Preserve,Maine,United States,43.11877,-70.69545,75,https://www.alltrails.com/trail/us/maine/graces-woods-trail-old-farm-road-trail-and-friendship-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjg0NDExMDAvODk4NjRkZjI5MWNiOWRhNDM2NGYzN2U1M2ZmYmU2YTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
df889065b922,Fort McClary Trail,AllTrails,0.3,19.0,62.0,1,6.0,Out & Back,4.2,Fort McClary State Park,Maine,United States,43.08257,-70.71033,74,https://www.alltrails.com/trail/us/maine/fort-mcclary-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTc0Njg4MTgvNDIzNTE2YmVmZWY5MTY4Yjc1NjJhY2Q2ZTdjYjEwNWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
a1e6db8f83e0,Brave Boat Headwaters Preserve Loop,AllTrails,1.4,62.0,62.0,1,28.0,Loop,4.2,Brave Boat Headwaters Preserve,Maine,United States,43.10869,-70.67359,117,https://www.alltrails.com/trail/us/maine/brave-boat-headwaters-preserve-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTE1OTk5NjYvZTZiOGY5MzE3NTI0MjQxYjU2MmI5ZTA5N2EzNDYwMDAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
