Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
ee73538e2d12,10342982,Sconset Bluff Path,AllTrails,2.0,62.0,72.0,1,38.0,Out & Back,,4.8,214,,Massachusetts,United States,41.26214,-69.96423,https://www.alltrails.com/trail/us/massachusetts/sconset-bluff-path,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg5NDA0ODcvZTk3NzI5ZGIwZjY1OGE1MjI4OTNhYTdhZDRhOWM2MzEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
2e3b806e661c,10929319,Cobble Stone Beach Loop via Brickyard Trail,AllTrails,3.7,383.0,301.0,3,87.0,Loop,,4.8,194,Menemsha Hills Reservation,Massachusetts,United States,41.3648,-70.7423,https://www.alltrails.com/trail/us/massachusetts/cobble-stone-beach-loop-via-brickyard-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM3NzU4OTEvMjkwZjBiNDJhN2RkZDAyNmQwOTNlMDgwNjk4MzFkOTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
577df6c5f708,10029181,"Sanford Farm, Ram Pasture & The Woods",AllTrails,5.8,147.0,45.0,1,108.0,Loop,,4.7,272,,Massachusetts,United States,41.28387,-70.13682,https://www.alltrails.com/trail/us/massachusetts/sanford-farm-ram-pasture-and-woods-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY0MTQyNTQvZGNlOTc1NDhkMjhkNmFjODZmZTVhZTMzMGEyOTIyY2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5992edeac9b6,10029173,Great Sand Bank and Beach Overlook via Harris and Nashawahkamuk Trail,AllTrails,3.7,347.0,301.0,3,85.0,Loop,,4.7,128,Menemsha Hills Reservation,Massachusetts,United States,41.36464,-70.74216,https://www.alltrails.com/trail/us/massachusetts/harris-loop-nashawahkamuk-cobble-stone-beach-overlook-and-great-sand-bank-overlook,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA1OTYyMDQvYzU1NjkyMzVmNzZhNzMyYzhmOWYyMjU0NjQ3MWMzMjEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d33d8876ba19,10929316,Brickyard Trail and Prospect Hill Overlook,AllTrails,3.9,377.0,301.0,3,90.0,Out & Back,,4.6,93,Menemsha Hills Reservation,Massachusetts,United States,41.36465,-70.74214,https://www.alltrails.com/trail/us/massachusetts/brickyard-trail-and-prospect-hill-overlook,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDk4NDg5NDEvYjEzMWI1YWRhOGQwNGQwNDcxZGQ2ODk1NWMwNzc0OGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
8a300835ea20,10358589,Miacomet Pond Trail to Miacomet Road,AllTrails,3.0,52.0,19.0,1,54.0,Out & Back,,4.6,145,,Massachusetts,United States,41.26165,-70.11055,https://www.alltrails.com/trail/us/massachusetts/miacomet-pond-trail-to-miacomet-road,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY0MDMyODIvZDZhMmJiM2Q5MjUwNzRlMTdhMDAwYmFjODc0N2E1NDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c85cd5379a56,10030280,"White, Yellow-Blue, Neighborhood, Blue, and Maria Daggett Trail",AllTrails,1.4,121.0,75.0,1,31.0,Loop,,4.8,103,Cedar Tree Neck Sanctuary ,Massachusetts,United States,41.43216,-70.6971,https://www.alltrails.com/trail/us/massachusetts/cedar-tree-neck-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg1OTg4NTAvNDc4YzIyODE2Mzc3YWQ3YTgyZWVlYzk4ZTkwZjI2ODcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
a3970e80f82a,10028027,Woodland Wonderland Trail,AllTrails,2.2,29.0,19.0,1,39.0,Loop,,4.3,103,Felix Neck Wildlife Sanctuary,Massachusetts,United States,41.41674,-70.56379,https://www.alltrails.com/trail/us/massachusetts/woodland-wonderland-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjkyMjc0MDgvMjI1OTQ2ZDE2NWJkYmQxN2FkODE3ZWQ2ZjA3MThmMmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
434160aeeb5b,10030821,Caroline Tuthill Purple and Yellow Trails,AllTrails,2.3,101.0,52.0,1,45.0,Loop,,4.5,116,Caroline Tuthill Preserve,Massachusetts,United States,41.39764,-70.53867,https://www.alltrails.com/trail/us/massachusetts/caroline-tuthill-preserve-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQxNjY4NjkvNDI5MzA2NjI0NWFhNTA0ZWQ5MDFkYmVlZmM0Zjk0YWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
450cfec3b9f5,10929423,Menemsha Hills Reservation Beach via The Brickyard Trail,AllTrails,3.2,321.0,285.0,3,75.0,Out & Back,,4.3,43,Menemsha Hills Reservation,Massachusetts,United States,41.36479,-70.74238,https://www.alltrails.com/trail/us/massachusetts/menemsha-hills-reservation-beach-via-the-brickyard-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDEzOTIxNjEvNzVlYmZiNWM3YmYyZWJjMmQ4Zjg3YzAyMmNhNDI3ZmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
9816ae55ed42,10287070,Stump Pond Loop,AllTrails,2.4,49.0,52.0,1,44.0,Loop,,4.3,86,Windswept Cranberry Bog,Massachusetts,United States,41.2988,-70.00516,https://www.alltrails.com/trail/us/massachusetts/stump-pond-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjYyNDk0MjkvNGI4MTcwZTNlNDU1YTQ4ZGJiZDdiYmU5MTZmMGNkMjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
