Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
cc675c827f4b,Warren Wood Climax Old Growth Virgin Timber Trail,AllTrails,1.6,71.0,629,1,32.0,Out & Back,4.4,Warren Woods State Park,Michigan,United States,41.8319,-86.62487,306,https://www.alltrails.com/trail/us/michigan/warren-wood-climax-old-growth-virgin-timber-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjc2NTkzNzcvY2RjMzQxMGFkMjQ5NTI4OTkwNmU5MmRiNzdhZDhlNDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b465882d65cd,Canopy Walkway,AllTrails,1.2,78.0,646,1,25.0,Loop,4.3,Galien River County Park,Michigan,United States,41.80556,-86.71876,246,https://www.alltrails.com/trail/us/michigan/canopy-walkway,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUxMjEwMzMvZGNmNTAxZDQ3YTZiMmZhMDY2MGFhNmJhZGYwN2U2NDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5287b35d19cc,North Country Trail: Lost Nation State Game Area,AllTrails,9.0,871.0,1138,3,209.0,Out & Back,4.5,Lost Nation State Game Area,Michigan,United States,41.82716,-84.47359,286,https://www.alltrails.com/trail/us/michigan/north-country-trail-pittsford,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc1MzA4NDEvNTIyMTIwNzRmY2IxODMxMDEwOWI0YWY5YmI4NDliZGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b4e86f681b60,Chikaming MTB Loop,AllTrails,6.6,246.0,672,3,128.0,Loop,4.4,Chikaming Township Park and Preserve,Michigan,United States,41.83915,-86.65026,164,https://www.alltrails.com/trail/us/michigan/chikaming-mtb-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzExNzE0NzYvNDA3OWI1MDMxYWI5OTcwYjFlOThhOGY0YzBlYjM0OGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
96a51ad1bc56,Doty Cave via North Country Trail,AllTrails,2.8,451.0,1141,1,76.0,Out & Back,4.6,Lost Nation State Game Area,Michigan,United States,41.82718,-84.47365,147,https://www.alltrails.com/trail/us/michigan/doty-cave-via-north-country-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc2MzQ1NDMvOTMyNTJhZjQ5OTYwZTRkMzg0MWNhOTIxNzg4NzRkOTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
70c1683b5c1e,Chikaming Loop 1,AllTrails,1.6,54.0,672,1,31.0,Loop,4.3,Chikaming Township Park and Preserve,Michigan,United States,41.83903,-86.65033,97,https://www.alltrails.com/trail/us/michigan/chikaming-loop-1,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjc0MTQzNjgvNjg0MTBhZGYyMWYwMmU1YjkyNmY1ZDI1MWIyNzQ3ZDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
02188eda1c85,Indiana-Michigan River Valley Trail,AllTrails,10.7,209.0,741,1,194.0,Point-to-Point,4.6,,Michigan,United States,41.8375,-86.25267,152,https://www.alltrails.com/trail/us/michigan/indiana-michigan-river-valley-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjYxNTkzNTcvZWRlYWU3MjM1MjlhZjIwNzMxMWJkNzViZDYxNzY1YjUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
c89580c2c9b3,Kiwanis Trail,AllTrails,9.4,225.0,807,1,172.0,Point-to-Point,4.4,Lenawee Trail Systems,Michigan,United States,41.89323,-84.04754,167,https://www.alltrails.com/trail/us/michigan/kiwanis-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk2MDE5MTQvYTM5MTgxMWY5MGQzZmFmNTRiNTI1YmU2ZDUxMjI0MTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
499ce0cfb2b1,Plumb Lake Trail,AllTrails,3.1,154.0,931,1,62.0,Loop,4.4,Plumb Lake County Park,Michigan,United States,41.8134,-85.38241,109,https://www.alltrails.com/trail/us/michigan/plumb-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk5ODk0MjIvMmZjMDdiY2U1Yjk5MzRjZGRiMDlkZTVmMzQzMGQzY2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
858dda91062e,Madeline Bertrand Green Trail,AllTrails,1.0,26.0,702,1,19.0,Loop,4.4,Madeline Bertrand County Park,Michigan,United States,41.76256,-86.26928,154,https://www.alltrails.com/trail/us/michigan/madeline-bertrand-green-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA2MjcyMzMvMGY1MjJjMDI3ODNlZmUwZjgyMjk4MmMyNzExNTMxYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
