Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
6dacc107ad85,10688916,"Mound, Lower Cliff Line, and Campground Loop Trail",AllTrails,6.9,380.0,1702,1,141.0,Loop,,4.2,138,Blue Mounds State Park,Minnesota,United States,43.69102,-96.19736,https://www.alltrails.com/trail/us/minnesota/mound-lower-cliff-line-and-campground-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTExOTA5OTkvOTM3YzRhNzI3NmZkNTYzYWJmYTE5YWI2N2VlZDIyZDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
7822a5e839c5,10243494,Big Island Loop,AllTrails,1.4,21.0,1233,1,25.0,Loop,,4.3,190,Myre-Big Island State Park,Minnesota,United States,43.62677,-93.28941,https://www.alltrails.com/trail/us/minnesota/big-island-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTE1NzYwNTMvMzZiMTk1NTI5ZmYwNGQ4OGNkMGRhMWI0Mjg1MWI4ZWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6abecc57b18c,10418364,Myre Big Island State Park Loop,AllTrails,8.1,275.0,1286,1,155.0,Loop,,4.3,159,Myre-Big Island State Park,Minnesota,United States,43.62652,-93.2904,https://www.alltrails.com/trail/us/minnesota/myre-big-island-state-park-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI4MzczNDUvNzMwYTVlMTIzZmVjN2I1NTFiZWFmZTlkNDhkNDcyODIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
3a7dc940af59,10894012,"Beaver Creek Valley, Hole in Rock, and West Rim",AllTrails,6.6,790.0,1089,3,163.0,Loop,,4.6,146,Beaver Creek Valley State Park,Minnesota,United States,43.64316,-91.5807,https://www.alltrails.com/trail/us/minnesota/beaver-creek-valley-hole-in-rock-and-west-rim,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzk3MTc3NjAvOGM1MzhjNWY4Nzc0NDU4ZmYzZmI5NTlkYWExNmQ1ZmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
98d92d87369f,10617259,Wildwood Loop,AllTrails,1.2,19.0,1289,1,22.0,Loop,,4.3,162,Lake Louise State Park,Minnesota,United States,43.52613,-92.51585,https://www.alltrails.com/trail/us/minnesota/wildwood-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTE0MjIxNDgvODZhY2E2ZTBkZTZkMzE0ODVmZmIwMmQxZDAxNDE1YTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f017f75afb75,10897571,Maple Ridge Trail Loop,AllTrails,2.2,203.0,1233,1,50.0,Loop,,4.3,135,Forestville/Mystery Cave State Park,Minnesota,United States,43.6287,-92.22189,https://www.alltrails.com/trail/us/minnesota/maple-ridge-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTEzNzU4MjcvZTI5ZjM4YTgwNTkyODA0MzcwMTY5M2Q3MGUzNzEzZTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
23dd529d02be,10022355,Myre Big Island State Park,AllTrails,5.0,147.0,1253,1,94.0,Loop,,4.2,112,Myre-Big Island State Park,Minnesota,United States,43.63467,-93.30062,https://www.alltrails.com/trail/us/minnesota/myre-big-island-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDgxMzEyOTMvYzZmMTk5ZjNjNGZjZTE3YzEyMmJmMjVlODFjZjM2NzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
1636942511e8,10023397,Beaver Creek Valley Short Loop,AllTrails,2.4,363.0,1102,3,64.0,Loop,,4.6,93,Beaver Creek Valley State Park,Minnesota,United States,43.64282,-91.58106,https://www.alltrails.com/trail/us/minnesota/beaver-creek-valley-short-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzUwMzkxNjEvYzE4MGI4MmJhNjE0NGNlNjkzYWIzMWFjNDkxZDY4OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
a7037030de84,10243583,Prairie View Great Marsh Loop Trail,AllTrails,2.2,104.0,1263,3,44.0,Loop,,4.4,73,Myre-Big Island State Park,Minnesota,United States,43.62568,-93.3151,https://www.alltrails.com/trail/us/minnesota/prairie-view-great-marsh-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI4MjIxNzIvNDMxZjRlMWNiMmE3MDdhYjg0YmNiMzVmMTBhNDY1MjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4085299fbd3d,10019621,Forestville Trail,AllTrails,7.7,797.0,1266,3,182.0,Loop,,4.6,56,Forestville/Mystery Cave State Park,Minnesota,United States,43.64089,-92.21512,https://www.alltrails.com/trail/us/minnesota/forestville-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU1MjE1OTYvYmQ2YmNkNGY3OGE2OWNlNDg1ZmFkNDE0NTc3ODIwZTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
