Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
1c869d2e370d,Possum Walk Trail at Stennis Space Center,AllTrails,6.3,52.0,16,1,110.0,Out & Back,4.0,Stennis Space Center,Mississippi,United States,30.31036,-89.60575,155,https://www.alltrails.com/trail/us/mississippi/possum-walk-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTQxMTE0NzgvZDYyZDFhYzU3N2JjM2E5MzJhZGQwODdhOWQ4NjQwYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
14a012affbb7,"Whiskey, Tango, and Foxtrot Loop",AllTrails,4.8,65.0,16,1,85.0,Loop,4.5,Shepard State Park,Mississippi,United States,30.3722,-88.63128,26,https://www.alltrails.com/trail/us/mississippi/whiskey-tango-and-foxtrot-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM0NzQ5MzQvMTJhM2YxMzg4NGJhY2Y5NDRlNGZhODZjYWM0MmU1MDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
94f8a659b81e,Enchanted Nature Trail,AllTrails,0.7,3.0,9,1,12.0,Loop,3.4,,Mississippi,United States,30.30567,-89.28351,44,https://www.alltrails.com/trail/us/mississippi/enchanted-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzAyMjg4MjgvZWVmOGEwMDRmNjMxMThmODk4MmY1ZTFhNzkwZTAwZDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
ce1db507fd12,Alpha Loop,AllTrails,0.9,8.0,16,1,16.0,Loop,4.0,Shepard State Park,Mississippi,United States,30.37328,-88.62671,5,https://www.alltrails.com/trail/us/mississippi/alpha-loop,,2024-04-02
c0475bd146dd,Fort Massachusetts,AllTrails,1.0,6.0,3,1,17.0,Out & Back,4.4,Gulf Islands National Seashore,Mississippi,United States,30.21237,-88.97165,5,https://www.alltrails.com/trail/us/mississippi/fort-massachusetts,,2024-04-02
0115c8e3fd05,Fontainebleau Nature Trail,AllTrails,1.5,39.0,22,1,28.0,Loop,4.4,Mississippi Sandhill Crane National Wildlife Refuge,Mississippi,United States,30.39784,-88.75707,361,https://www.alltrails.com/trail/us/mississippi/fontainebleau-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIzNTg0MzIvN2NjMWZlZGFjZDdlZGEzZDA2ZDQwN2U2YTg1MGFhMDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
ef9ed476cf57,Gulf Islands Seashore: Davis Bayou Area,AllTrails,3.1,75.0,19,1,58.0,Out & Back,3.9,Gulf Islands National Seashore,Mississippi,United States,30.39792,-88.79308,276,https://www.alltrails.com/trail/us/mississippi/gulf-islands-seashore-davis-bayou-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzI5NjU1ODIvYWI5ZmQwY2Y5MWVjMjhlZjcyMzEzOWFhZmNlZTdiYWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
df5ba06506e3,Oscar Trail,AllTrails,1.8,29.0,16,3,32.0,Loop,4.4,Shepard State Park,Mississippi,United States,30.37667,-88.63378,76,https://www.alltrails.com/trail/us/mississippi/oscar-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTYwMDA2NTEvOTcxY2Q3MjQ2MTE2ZGUzZjVlNGNhNWFjZDg5ZDE0ZGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
c01fb81989ee,Bell's Ferry Nature Trail,AllTrails,1.2,13.0,19,1,21.0,Loop,4.0,Wolf River Preserve,Mississippi,United States,30.38968,-89.2248,97,https://www.alltrails.com/trail/us/mississippi/bells-ferry-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjk3Mzc2MDYvM2U5M2FlMzY5NmU2NWU1MThhZTNjMGIyNGY2ZmVjNzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
30182e315025,CCC Overlook Trail,AllTrails,1.1,21.0,19,1,20.0,Out & Back,3.6,Gulf Islands National Seashore,Mississippi,United States,30.39168,-88.7901,58,https://www.alltrails.com/trail/us/mississippi/ccc-overlook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTM3Mjk3MzIvM2E5NmFiOWI3NTRjOTAyMTA1Y2UzMTM3OGRhNzg0NDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
