Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
4afe7f141e9f,10257553,Possum Walk Trail at Stennis Space Center,AllTrails,6.3,52.0,16,1,110.0,Out & Back,,3.9,159,Stennis Space Center,Mississippi,United States,30.31036,-89.60575,https://www.alltrails.com/trail/us/mississippi/possum-walk-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTQxMTE0NzgvZDYyZDFhYzU3N2JjM2E5MzJhZGQwODdhOWQ4NjQwYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
645295c4e5fa,11194070,"Whiskey, Tango, and Foxtrot Loop",AllTrails,4.8,65.0,16,1,85.0,Loop,,4.5,27,Shepard State Park,Mississippi,United States,30.3722,-88.63128,https://www.alltrails.com/trail/us/mississippi/whiskey-tango-and-foxtrot-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM0NzQ5MzQvMTJhM2YxMzg4NGJhY2Y5NDRlNGZhODZjYWM0MmU1MDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4515be813767,10554804,Enchanted Nature Trail,AllTrails,0.7,3.0,9,1,12.0,Loop,,3.5,46,,Mississippi,United States,30.30567,-89.28351,https://www.alltrails.com/trail/us/mississippi/enchanted-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzAyMjg4MjgvZWVmOGEwMDRmNjMxMThmODk4MmY1ZTFhNzkwZTAwZDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
3aad19ae3235,11191770,Alpha Loop,AllTrails,0.9,8.0,16,1,16.0,Loop,,4.2,6,Shepard State Park,Mississippi,United States,30.37328,-88.62671,https://www.alltrails.com/trail/us/mississippi/alpha-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTY0OTU0NTMvNzA1YTFmNWU3MWQ5NWYyYjBkYjFhMTNlOGQzNDQ0ZGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
19c6a8ce504c,10969288,Fort Massachusetts,AllTrails,1.0,6.0,3,1,17.0,Out & Back,,4.7,7,Gulf Islands National Seashore,Mississippi,United States,30.21237,-88.97165,https://www.alltrails.com/trail/us/mississippi/fort-massachusetts,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU4NTE0MTgvYTRmYjRiYjM2YmNmZmMxYjA3ZTlhY2EyN2RmMzU2OTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
9430290d987f,10242676,Fontainebleau Nature Trail,AllTrails,1.5,39.0,22,1,28.0,Loop,,4.4,373,Mississippi Sandhill Crane National Wildlife Refuge,Mississippi,United States,30.39784,-88.75707,https://www.alltrails.com/trail/us/mississippi/fontainebleau-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzYwMzU5NDYvZmUzMThlMTA0YjEwMzFjMjEyODNmMjg4MGQ2ZDNjZDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
8e2fb473c682,10024947,Gulf Islands Seashore: Davis Bayou Area,AllTrails,3.1,75.0,19,1,58.0,Out & Back,,3.8,271,Gulf Islands National Seashore,Mississippi,United States,30.39792,-88.79308,https://www.alltrails.com/trail/us/mississippi/gulf-islands-seashore-davis-bayou-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDk4MTUzNDEvZDVhZDAzYjNiM2YyYTQxZDM5ODJiMmE1MTI1NDMzNDAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
90569b4cc795,10416689,Oscar Trail,AllTrails,1.8,29.0,16,3,32.0,Loop,,4.4,80,Shepard State Park,Mississippi,United States,30.37667,-88.63378,https://www.alltrails.com/trail/us/mississippi/oscar-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDM4ODEwODYvODM4MmMzMWI1NGE4MjhlZTg0ZWU4MDdlNWIxOTJmYmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f9be0d47816c,10554520,Bell's Ferry Nature Trail,AllTrails,1.2,13.0,19,1,21.0,Loop,,3.9,100,Wolf River Preserve,Mississippi,United States,30.38968,-89.2248,https://www.alltrails.com/trail/us/mississippi/bells-ferry-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjk3Mzc2MDYvM2U5M2FlMzY5NmU2NWU1MThhZTNjMGIyNGY2ZmVjNzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d2ee7ddfb764,10946428,CCC Overlook Trail,AllTrails,1.1,21.0,19,1,20.0,Out & Back,,3.6,57,Gulf Islands National Seashore,Mississippi,United States,30.39168,-88.7901,https://www.alltrails.com/trail/us/mississippi/ccc-overlook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTM3Mjk3MzIvM2E5NmFiOWI3NTRjOTAyMTA1Y2UzMTM3OGRhNzg0NDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
