Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
e5b9e4141bbf,10277548,Fairy Falls Trail,AllTrails,4.8,170.0,7322,1,92.0,Out & Back,,4.5,2479,Yellowstone National Park,Montana,United States,44.51554,-110.83255,https://www.alltrails.com/trail/us/wyoming/fairy-falls--4,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg5NjY0NDYvOTQ0ZDQ2NzY1MDk0Y2FmYTI2NWNkZjlhODliZWViMTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
621fe1bff6ca,10026864,"Mystic Falls, Fairy Creek and Little Firehole Loop",AllTrails,3.5,606.0,7805,3,98.0,Loop,,4.7,1880,Yellowstone National Park,Montana,United States,44.48515,-110.85207,https://www.alltrails.com/trail/us/wyoming/mystic-falls-fairy-creek-and-little-firehole-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI4MTgyMDQvY2Y3N2U4M2ZjYjZmNzhlM2M5OGE3ZjIzMGNjMDQwMGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
1deefd992418,10026574,West Thumb Geyser Basin Trail,AllTrails,1.0,62.0,7791,1,21.0,Loop,,4.5,1692,Yellowstone National Park,Montana,United States,44.41584,-110.57372,https://www.alltrails.com/trail/us/wyoming/west-thumb-geyser-basin,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTk2Nzg4MDQvMzBjOWJiZWZjYWZhMjQyYmEzYzQ2OTUxYTA2NjU3NjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f825e38a525d,10278321,Mystic Falls,AllTrails,2.4,147.0,7408,1,50.0,Out & Back,,4.7,969,Yellowstone National Park,Montana,United States,44.48531,-110.85227,https://www.alltrails.com/trail/us/wyoming/mystic-falls--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk1MTM4ODAvYjJkNmJiYTZhZTY4NDQ5MDA3MDJlNjRhZTdmZGM1MTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5d5181a6ae6e,10014707,Fairy Creek Trail to Imperial Geyser,AllTrails,6.7,366.0,7391,1,137.0,Out & Back,,4.7,756,Yellowstone National Park,Montana,United States,44.51393,-110.83261,https://www.alltrails.com/trail/us/wyoming/fairy-creek-trail-to-imperial-geyser,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg5NjY0NDYvOTQ0ZDQ2NzY1MDk0Y2FmYTI2NWNkZjlhODliZWViMTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
eef8aea6b342,10002682,Fountain Paint Pot Trail,AllTrails,0.6,21.0,7309,1,12.0,Loop,,4.5,959,Yellowstone National Park,Montana,United States,44.5484,-110.80725,https://www.alltrails.com/trail/us/wyoming/fountain-paint-pot-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ3MDU5MjQvYWRjNGUxMjkyOTUzMDc3Y2I4MDBkN2UyMDhjMzhjYzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
1871e399a1a9,10017347,Elephant Back Mountain Trail,AllTrails,3.6,793.0,8618,3,112.0,Loop,,4.5,784,Yellowstone National Park,Montana,United States,44.55638,-110.40305,https://www.alltrails.com/trail/us/wyoming/elephant-back-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjIxNzY5ODcvNjRmMjk4ZTFmYzMxZmMzZTQzMjhjNTZiODIxZjk2MWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
9de9bcccd7ff,10330099,Fairy Falls and Imperial Geyser Loop,AllTrails,8.8,422.0,7421,3,176.0,Loop,,4.5,488,Yellowstone National Park,Montana,United States,44.51387,-110.83268,https://www.alltrails.com/trail/us/wyoming/fairy-falls-and-imperial-geyser-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE1Njk0MjAvYmQ0ZWRlOTcxZmI0YjM4ZWEwOGRiZDM0MGE3MmM0NDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b23c17ad6cf1,10033839,Yellowstone Natural Bridge Trail,AllTrails,3.1,215.0,7946,3,66.0,Out & Back,,4.4,698,Yellowstone National Park,Montana,United States,44.53384,-110.43852,https://www.alltrails.com/trail/us/wyoming/yellowstone-natural-bridge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQyMTkxMjkvODE1ODg1OTQ1N2IxMThlYTQ4N2VhYWJiYTlkNzllNjAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
430dc2b86dc4,10293007,Solitary Geyser,AllTrails,1.7,193.0,7509,3,41.0,Loop,,4.5,352,Yellowstone National Park,Montana,United States,44.45952,-110.82625,https://www.alltrails.com/trail/us/wyoming/solitary-geyser,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTE5NzQ5ODkvNTYxY2YxZDM2NTkyZGRjZTY5MWFkYWJhNmVhODlhYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
