Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
bc9630a737d2,Upper Hiko Springs,AllTrails,3.4,428.0,1968,3,,Out & Back,4.3,Avi Kwa Ame National Monument,Nevada,United States,35.16832,-114.68595,99,https://www.alltrails.com/trail/us/nevada/upper-hiko-springs,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjU2MDg4OTEvY2Y4M2E4YzIzNWVhOGY2ZTcyNjVkYzYxYTZlNzQ1OTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
3ed3df813e24,Christmas Tree Pass,AllTrails,16.3,2299.0,3953,5,405.0,Point-to-Point,4.3,Avi Kwa Ame National Monument,Nevada,United States,35.20143,-114.66858,58,https://www.alltrails.com/trail/us/nevada/christmas-tree-pass,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTY1NDIyODUvODk5NjdmNmZiNDUzMjYxMDFhZDI0OWEwZGYyOGU2ZmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5b7546d19467,Grapevine Canyon Trail,AllTrails,3.3,373.0,2759,3,,Out & Back,4.5,Avi Kwa Ame National Monument,Nevada,United States,35.22577,-114.68135,502,https://www.alltrails.com/trail/us/nevada/grapevine-canyon-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQ4MjA1MDQvZjJmYTk5NWMxNGY1YzYwMmIyNGJmY2M4OWYwYzI2ODguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
061d057b35bd,Spirit Mountain,AllTrails,3.8,2260.0,5606,5,209.0,Out & Back,4.3,Avi Kwa Ame National Monument,Nevada,United States,35.25878,-114.73654,101,https://www.alltrails.com/trail/us/nevada/spirit-mountain--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzEzOTk3MDQvZjI4MTU4MGMzMTY4ZWI3ZDBkZTdiOWRiNWE0M2NkN2UuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
6174b2686f56,Pipe Spring Trail to Dry Water Falls,AllTrails,4.5,643.0,2719,3,,Out & Back,4.5,Avi Kwa Ame National Monument,Nevada,United States,35.26817,-114.68562,33,https://www.alltrails.com/trail/us/nevada/pipe-spring-trail-to-dry-water-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ3MDIxOTQvMDZhNzk2MjRlMWZhNTMwYWM2NDYyNTAxNWE3NTNiNjEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
1f697206258c,Katherine's Landing Fisherman's Trail,AllTrails,0.6,26.0,685,1,12.0,Out & Back,4.3,,Nevada,United States,35.21592,-114.56404,25,https://www.alltrails.com/trail/us/arizona/katherine-s-landing-fisherman-s-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQyMzQ3NjYvYjAzOTMxZTIzMTY2MDg5NzQwMDZhMWI5NjMyYTY4ZDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8adc88423286,Wee Thump Joshua Tree Wilderness,AllTrails,3.9,246.0,4570,3,82.0,Out & Back,3.9,Wee Thump Joshua Tree Wilderness,Nevada,United States,35.51489,-115.10509,17,https://www.alltrails.com/trail/us/nevada/wee-thump-joshua-tree-wilderness--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzEzOTAyMDgvZGIyMjIyZWJjMGZkN2FmZjkwZGQ3ZWE5ZWExNmFmOTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
a0b868463c13,Wee Thump Joshua Tree Wilderness,AllTrails,2.5,118.0,4324,3,50.0,Out & Back,3.9,Wee Thump Joshua Tree Wilderness,Nevada,United States,35.52024,-115.05786,12,https://www.alltrails.com/trail/us/nevada/wee-thump-joshua-tree-wilderness--4,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ0NzU4MTcvOGY3MjdlNTVhZDlhOGI4NDc1MmI2Y2NmNmUxOGRhNjUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
eac1efdac8a9,Murl Emery Natural Bridge,AllTrails,1.9,215.0,3536,3,46.0,Out & Back,4.6,Eldorado Wilderness,Nevada,United States,35.72989,-114.83158,198,https://www.alltrails.com/trail/us/nevada/bridge-spring-arch,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTU0NTMwNjUvNmY5MGE4ZGE1NWQ5ZGM2ZDUyZTFmNzU3NGQ4YjEwNWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
ac422f37ba8b,Keyhole Canyon and Petroglyphs,AllTrails,1.6,702.0,3553,7,,Loop,4.6,,Nevada,United States,35.71558,-114.92687,50,https://www.alltrails.com/trail/us/nevada/keyhole-canyon-and-petroglyphs,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjYwNTU4OTMvMjk0MDgxM2IwOTI4ZTE4ODkyNDc5MzIzNjgxMDE1NDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
9a763f5e12b4,Petroglyph Canyon Trail ,AllTrails,4.1,556.0,3385,3,,Loop,4.5,Sloan Canyon National Conservation Area,Nevada,United States,35.9162,-115.12607,1895,https://www.alltrails.com/trail/us/nevada/petroglyph-canyon-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA2Mjc0MTkvOWE4YzdhYTEzZmQxM2I2NmM3MDNlOGIxNGM2MGI5MDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
