Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
9a4994664709,10617451,Upper Hiko Springs,AllTrails,3.4,428.0,1968,3,,Out & Back,,4.3,102,Avi Kwa Ame National Monument,Nevada,United States,35.16832,-114.68595,https://www.alltrails.com/trail/us/nevada/upper-hiko-springs,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjU2MDg4OTEvY2Y4M2E4YzIzNWVhOGY2ZTcyNjVkYzYxYTZlNzQ1OTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f99e343ba9dc,10782265,Christmas Tree Pass,AllTrails,16.3,2299.0,3953,5,405.0,Point-to-Point,,4.3,58,Avi Kwa Ame National Monument,Nevada,United States,35.20143,-114.66858,https://www.alltrails.com/trail/us/nevada/christmas-tree-pass,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjE0NjY5NDIvODIzODgzN2JhYmY0ZDMzODZiY2MxYzUxOGM5YzEwOTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4bbfae58ae76,10111529,Grapevine Canyon Trail,AllTrails,3.3,373.0,2759,3,,Out & Back,,4.5,509,Avi Kwa Ame National Monument,Nevada,United States,35.22577,-114.68135,https://www.alltrails.com/trail/us/nevada/grapevine-canyon-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjAxMjEwMzQvMzg2YTdkYTIxNzRkOWNjMDY5MDdiNDEyMjFjYjVkMmUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
caae88643937,10484203,Spirit Mountain,AllTrails,3.8,2260.0,5606,5,209.0,Out & Back,,4.3,103,Avi Kwa Ame National Monument,Nevada,United States,35.25878,-114.73654,https://www.alltrails.com/trail/us/nevada/spirit-mountain--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjYwODY5MzEvYjUwMmFhZTE4ZTliMDNlMzllYjk4ZWI0YTgzZTY0YWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
dc0a0824ec14,10891639,Pipe Spring Trail to Dry Water Falls,AllTrails,4.5,643.0,2719,3,,Out & Back,,4.5,33,Avi Kwa Ame National Monument,Nevada,United States,35.26817,-114.68562,https://www.alltrails.com/trail/us/nevada/pipe-spring-trail-to-dry-water-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ3MDIxOTQvMDZhNzk2MjRlMWZhNTMwYWM2NDYyNTAxNWE3NTNiNjEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
49a867064b33,10976700,Katherine's Landing Fisherman's Trail,AllTrails,0.6,26.0,685,1,12.0,Out & Back,,4.4,25,,Nevada,United States,35.21592,-114.56404,https://www.alltrails.com/trail/us/arizona/katherine-s-landing-fisherman-s-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQyMzQ3NTgvMzZjOTBmM2M3YjA4YmFlNTE3ZWIzYmJlMTlhMzQ4MjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ba06a02a42bf,11045938,Grapevine Canyon via Telephone Cove,AllTrails,4.1,550.0,1240,3,105.0,Out & Back,,3.5,7,Lake Mead National Recreation Area,Nevada,United States,35.22943,-114.59607,https://www.alltrails.com/trail/us/nevada/grapevine-canyon-via-telephone-cove,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDM4Mzg5MTYvZWY2ZDBmMTg1YzI0ZDhlMjU5YjE3NGQ1OWEwNGU3MDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
7617bfa33033,10783563,Wee Thump Joshua Tree Wilderness,AllTrails,3.9,246.0,4570,3,82.0,Out & Back,,3.9,17,Wee Thump Joshua Tree Wilderness,Nevada,United States,35.51489,-115.10509,https://www.alltrails.com/trail/us/nevada/wee-thump-joshua-tree-wilderness--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzEzOTAyMDgvZGIyMjIyZWJjMGZkN2FmZjkwZGQ3ZWE5ZWExNmFmOTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
87bbfbe74195,10783576,Wee Thump Joshua Tree Wilderness,AllTrails,2.5,118.0,4324,3,50.0,Out & Back,,3.9,13,Wee Thump Joshua Tree Wilderness,Nevada,United States,35.52024,-115.05786,https://www.alltrails.com/trail/us/nevada/wee-thump-joshua-tree-wilderness--4,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQ0NzU4MTcvOGY3MjdlNTVhZDlhOGI4NDc1MmI2Y2NmNmUxOGRhNjUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
e1f575970502,10649604,Joshua Tree Trail,AllTrails,3.0,396.0,4570,1,64.0,Point-to-Point,,5.0,3,,Nevada,United States,35.51387,-115.05607,https://www.alltrails.com/trail/us/nevada/joshua-tree-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjE4OTg3MzYvMzhhYWJlY2UyMGQxN2NkN2FhYTc3MzQ4NDY0YmNkOTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
