Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
9fb2165ca1b2,Mount Monadnock via White Dot and White Cross Trails,AllTrails,3.8,1773,3126,5,178.0,Loop,4.7,Monadnock State Park,New Hampshire,United States,42.84493,-72.08726,6139,https://www.alltrails.com/trail/us/new-hampshire/mount-monadnock-via-white-dot-and-white-cross-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjIxMjg4NDYvOTZiMzQxNWVkZWYxZmE2Mzg4M2Q1ZjhmNDk4YzQzODYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
db620c44de40,Mount Monadnock via White Dot Trail,AllTrails,3.4,1744,3126,5,169.0,Out & Back,4.7,Monadnock State Park,New Hampshire,United States,42.84549,-72.08866,1776,https://www.alltrails.com/trail/us/new-hampshire/white-dot-to-mount-monadnock,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI5NTg1MTcvZmE3NWNhODRhMzNjMjRkZDhlMzZhODFiYzQ3ZGViM2UuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
08cadb02cee1,Purgatory Falls via Purgatory Brook Trail,AllTrails,5.2,331,603,3,109.0,Out & Back,4.4,,New Hampshire,United States,42.85887,-71.6947,1614,https://www.alltrails.com/trail/us/new-hampshire/purgatory-falls-via-purgatory-brook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTAyOTQ3MTkvMzY3NjUxZTk4ZDJhZDU3YWNiNjlmN2YwZjc4Y2VjZWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8d39b98ca13b,Wildcat Falls,AllTrails,2.2,98,206,1,44.0,Loop,4.5,Wildcat Falls Conservation Area,New Hampshire,United States,42.86225,-71.50596,1919,https://www.alltrails.com/trail/us/new-hampshire/wild-cat-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzgzODQ1MjIvZmMyNjc0MzlhMDQ1MDVmM2JkMjAzNzU3NjNiNzIwNzMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0e5842063a0b,Mount Monadnock via Dublin Trail,AllTrails,4.4,1689,3126,5,183.0,Out & Back,4.7,Monadnock State Park,New Hampshire,United States,42.88571,-72.12492,1517,https://www.alltrails.com/trail/us/new-hampshire/monadnock-mountain-via-dublin-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA2NjA2OTEvNzFiYmIwNmZiNjMzNDA0MGQ3ZGNmYmY5NWVmNDZiNWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
cf276d8fda9f,Mount Monadnock via White Arrow Trail,AllTrails,4.2,1630,3146,5,175.0,Out & Back,4.7,Monadnock State Park,New Hampshire,United States,42.83532,-72.11383,1377,https://www.alltrails.com/trail/us/new-hampshire/white-arrow-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg5MDc0MjMvODZjZWY0Zjg4YzkyYzkwNzU5MDVlYmNjZTg3OTNhZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
fc8dc6a3e607,Wapack Trail and Marion Davis Trail,AllTrails,2.6,810,2290,3,96.0,Loop,4.6,Miller State Park,New Hampshire,United States,42.84996,-71.88657,1588,https://www.alltrails.com/trail/us/new-hampshire/wapack-trail-marion-davis-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQyNTgxNDMvMGRhMTM1ODAxOWNmZjc0OWM1Mzg3YWY1ZTljYzU5YjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
a4e669a24b52,Nashua River Trail ,AllTrails,5.0,147,173,1,95.0,Loop,4.5,Mine Falls Park,New Hampshire,United States,42.75809,-71.50053,1693,https://www.alltrails.com/trail/us/new-hampshire/nashua-river-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTg2NDY0MTIvYmUxNzJmZDQ1MDZmNTViODJiYmFhY2FjNTZhZDUyMTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
6838a30a12a5,Mount Monadnock via Marlboro Trail,AllTrails,3.9,1803,3123,5,182.0,Out & Back,4.7,Monadnock State Park,New Hampshire,United States,42.85957,-72.13912,934,https://www.alltrails.com/trail/us/new-hampshire/monadnock-mountain-via-marlboro-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzI0MzkwNDgvMGMzNjg2ZGZlMWU2MjVhYTc3ZmY3OWNmMmFmYWZjOGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
65b91f7335ad,Monadnock Mountain via Birchtoft Trail ,AllTrails,6.4,1991,3126,5,237.0,Out & Back,4.7,Monadnock State Park,New Hampshire,United States,42.86187,-72.06336,751,https://www.alltrails.com/trail/us/new-hampshire/monadnock-mountain-via-birchtoft-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE3NTAwNDYvZWQwMTBmMTc4YjI0NGY1ZjMzMGM3ZTUyMTI4Y2RkMzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
