Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
faa2d11e242a,Higbee Beach Loop Trail,AllTrails,2.9,42.0,22,1,52.0,Loop,4.2,Higbee Beach Wildlife Management Area,New Jersey,United States,38.96155,-74.96079,288,https://www.alltrails.com/trail/us/new-jersey/higbee-beach-wildlife-management-area-diamond-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY5OTQ0OTEvMTI3YjE2MjM5MTVlOGEwMDQ5YTk3NGI1NGE4YzEyNmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
84fb878e9659,South Cape May Meadows,AllTrails,1.0,6.0,9,1,17.0,Loop,4.4,South Cape May Meadows,New Jersey,United States,38.93805,-74.94466,236,https://www.alltrails.com/trail/us/new-jersey/south-cape-may-meadows,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDA5OTA4MTEvYjAwZjI1YjZiMzcxZDQzY2M4N2U0MmRmNDNjYTA3NDYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5e11c266e3cb,Cox Hall Creek Outer Loop,AllTrails,2.6,29.0,16,1,46.0,Loop,4.4,,New Jersey,United States,39.00614,-74.94165,213,https://www.alltrails.com/trail/us/new-jersey/cox-hall-creek-outer-loop--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY0MDg4OTYvMjU5YjZhNGZjZDQ2M2U5ZWNmOTZhOTNkOTlhMzlhOGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
9d4d17aec1a6,Lizard Tail Swamp Yellow and Blue Loop ,AllTrails,2.7,26.0,22,1,47.0,Loop,4.3,Lizard Tail Swamp Preserve,New Jersey,United States,39.12137,-74.82052,127,https://www.alltrails.com/trail/us/new-jersey/lizard-tail-swamp-yellow-and-blue-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgxNTEzNDAvOGQ3N2YwNTA2ZGE4MjZmN2JkMDE0YTkzNGQ0ODU3ZDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
fc8a2820ebe7,Garrett Family Perimeter Trail,AllTrails,1.4,13.0,13,1,25.0,Loop,4.2,Garrett Family Preserve at Cape Island Creek,New Jersey,United States,38.9496,-74.92375,88,https://www.alltrails.com/trail/us/new-jersey/garrett-family-preserve-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjkyODkyNzYvYzY4ZThmMTUyYmMzMjU1NTc2YmQwYjhiOTA5ODJmMWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8b45858e3124,Lizard Tail Swamp Yellow Loop Trail ,AllTrails,2.1,19.0,22,1,37.0,Loop,3.7,Lizard Tail Swamp Preserve,New Jersey,United States,39.12139,-74.82037,82,https://www.alltrails.com/trail/us/new-jersey/lizard-tail-swamp-yellow-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzI4NDU5OTYvMTJjMjQ2NWE4OTFjMmZmZmZmNmU0ZmRlOWM1NTA1OGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
1d2dbb1bb300,Stone Harbor Point,AllTrails,3.4,8.0,9,1,58.0,Out & Back,4.4,,New Jersey,United States,39.03465,-74.77072,68,https://www.alltrails.com/trail/us/new-jersey/stone-harbor-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjkzNTc5NTAvNTZhOWM5ZDdmOWVjMzEzM2M2Mjk1ZDgxODU1N2IxNTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8195a0dc0492,Lizard Tail Swamp Blue Trail,AllTrails,2.2,21.0,22,1,39.0,Out & Back,4.1,Lizard Tail Swamp Preserve,New Jersey,United States,39.11978,-74.82056,33,https://www.alltrails.com/trail/us/new-jersey/lizard-tail-swamp-blue-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgxNTEzNDMvOTcxMjc0NThiMDZlN2I3NDcyMWUzNGVmNDcwOTUyZGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
961c0e46897e,Songbird Trail,AllTrails,1.2,13.0,19,1,21.0,Loop,4.0,,New Jersey,United States,39.09964,-74.87997,48,https://www.alltrails.com/trail/us/new-jersey/songbird-trail--3,,2024-04-02
74cf0bcc5624,Woodcock Trail,AllTrails,1.2,13.0,16,1,21.0,Loop,4.0,Cape May National Wildlife Refuge,New Jersey,United States,39.09393,-74.88095,45,https://www.alltrails.com/trail/us/new-jersey/woodcock-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUzNzU4NzMvZmYxMTA2NDJmYzM3NDUxZDQxZGYxMDJlNGYyMDlmYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
