Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
2ad1f37b5acc,10039170,Higbee Beach Loop Trail,AllTrails,2.9,42.0,22,1,52.0,Loop,,4.1,296,Higbee Beach Wildlife Management Area,New Jersey,United States,38.96155,-74.96079,https://www.alltrails.com/trail/us/new-jersey/higbee-beach-wildlife-management-area-diamond-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDYwMTA1MjQvMDM5YmM0NGQ3MTczYTliNTE0ZGQ2NTU5MmFmZmJjMGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
e9d5027c32e5,10298491,South Cape May Meadows,AllTrails,1.0,6.0,9,1,17.0,Loop,,4.4,243,South Cape May Meadows,New Jersey,United States,38.93805,-74.94466,https://www.alltrails.com/trail/us/new-jersey/south-cape-may-meadows,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA0NTMwMDcvYTA3NWJlNjBjY2I1M2Q3NTdmZDhiMmFiZjVjNWU0MWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d3079d5d2bb3,10424701,Cox Hall Creek Outer Loop,AllTrails,2.6,29.0,16,1,46.0,Loop,,4.4,215,,New Jersey,United States,39.00614,-74.94165,https://www.alltrails.com/trail/us/new-jersey/cox-hall-creek-outer-loop--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzcwMzYzMDUvYzExODM3M2E5OTM2NDllMjRjZjBjZDhiOGE1Njk0ZDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
e14b63bb3987,10396903,Lizard Tail Swamp Yellow and Blue Loop ,AllTrails,2.7,26.0,22,1,47.0,Loop,,4.3,129,Lizard Tail Swamp Preserve,New Jersey,United States,39.12137,-74.82052,https://www.alltrails.com/trail/us/new-jersey/lizard-tail-swamp-yellow-and-blue-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjk0MzU2MTMvMmFhNmIxNDc3ODIzMDg1NGQ2YTc3YjlhZGI4MzA5ZmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4cff91ee8c9b,10716302,Garrett Family Perimeter Trail,AllTrails,1.4,13.0,13,1,25.0,Loop,,4.2,88,Garrett Family Preserve at Cape Island Creek,New Jersey,United States,38.9496,-74.92375,https://www.alltrails.com/trail/us/new-jersey/garrett-family-preserve-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk2MTE1MTIvNTU3MjBjNjdkNGZiODMyODc3ZjYzZTVlMzQ5ZDA1ZDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
2e8fb819c5e6,10396905,Lizard Tail Swamp Yellow Loop Trail ,AllTrails,2.1,19.0,22,1,37.0,Loop,,3.7,82,Lizard Tail Swamp Preserve,New Jersey,United States,39.12139,-74.82037,https://www.alltrails.com/trail/us/new-jersey/lizard-tail-swamp-yellow-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzI4NDU5OTYvMTJjMjQ2NWE4OTFjMmZmZmZmNmU0ZmRlOWM1NTA1OGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6c50afc777e8,10687692,Stone Harbor Point,AllTrails,3.4,8.0,9,1,58.0,Out & Back,,4.4,70,,New Jersey,United States,39.03465,-74.77072,https://www.alltrails.com/trail/us/new-jersey/stone-harbor-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM0MDYxMzMvMDc1NDY0YzQyMmMzYTI0YTExOThiODg5MjAwYTUyY2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
7a77b1d4ef84,10387879,Lizard Tail Swamp Blue Trail,AllTrails,2.2,21.0,22,1,39.0,Out & Back,,4.2,34,Lizard Tail Swamp Preserve,New Jersey,United States,39.11978,-74.82056,https://www.alltrails.com/trail/us/new-jersey/lizard-tail-swamp-blue-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgxNTEzNDAvOGQ3N2YwNTA2ZGE4MjZmN2JkMDE0YTkzNGQ0ODU3ZDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b6a9add2ad39,10384496,Songbird Trail,AllTrails,1.2,13.0,19,1,21.0,Loop,,4.0,50,,New Jersey,United States,39.09964,-74.87997,https://www.alltrails.com/trail/us/new-jersey/songbird-trail--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjE4ODk0MjEvYWFjMzJjMzVlNjBjNWRhMGY2Yjk3MzgwZjY4MWM0YWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d1f3861eec7a,10383763,Woodcock Trail,AllTrails,1.2,13.0,16,1,21.0,Loop,,4.0,46,Cape May National Wildlife Refuge,New Jersey,United States,39.09393,-74.88095,https://www.alltrails.com/trail/us/new-jersey/woodcock-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUzNzU4NzMvZmYxMTA2NDJmYzM3NDUxZDQxZGYxMDJlNGYyMDlmYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
