Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
80ffa4d291c0,10253950,Continental Divide Trail: Mexico to Canada,AllTrails,3005.19,444980.0,14274,7,79465.0,Point-to-Point,,3.6,12,,New Mexico,United States,31.49706,-108.2085,https://www.alltrails.com/trail/us/new-mexico/continental-divide-national-scenic-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjMwOTYxNTkvNGEzNjRhMzcyYzFlNWViZDM0ZDMwODU5MGRiNWRmOGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
3c3454ccda52,10264072,Blackwater Hole Trail,AllTrails,4.5,311.0,5751,1,96.0,Out & Back,,3.4,6,Bunk Robinson Wilderness Study Area,New Mexico,United States,31.51544,-108.99738,https://www.alltrails.com/trail/us/new-mexico/blackwater-hole-trail,,2024-05-14
1e6541c7bdf2,10112045,Sierra Del Cristo Rey,AllTrails,4.5,737.0,4596,3,123.0,Out & Back,,4.8,575,Galatzan Park,New Mexico,United States,31.79287,-106.54271,https://www.alltrails.com/trail/us/new-mexico/sierra-del-cristo-rey,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTczNDI3NzMvOGU4YzU4MzQzYWIxMDRkOWYxNTQwNTlkNzJjZmQ5NmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
e8aada8db01e,10355072,Lazy Cow to Mad Cow to Blue Moon Loop,AllTrails,8.9,724.0,4619,3,197.0,Loop,,4.6,219,,New Mexico,United States,31.93237,-106.44878,https://www.alltrails.com/trail/us/texas/lazy-cow-to-mad-cow-to-blue-moon-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgwMzE0MDQvNTM5YzZhYzUyN2IzZWY4OGM1Y2FkYTM3NGQ5MjJlYWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ae86cf83a868,10238999,Playas Peak,AllTrails,1.9,1101.0,5823,5,,Out & Back,,4.4,48,,New Mexico,United States,31.90392,-108.51012,https://www.alltrails.com/trail/us/new-mexico/playas-peak,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzU0MjU1MjEvOTRjMWM1MzI1MDFmOWNhYjFlMWQ4OWU4OWM2ZDZjZDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
381557066031,10418399,Cootes Hill,AllTrails,0.5,13.0,4081,1,9.0,Loop,,4.0,19,Pancho Villa State Park,New Mexico,United States,31.82723,-107.64202,https://www.alltrails.com/trail/us/new-mexico/cootes-hill,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzkxMDkwMTUvNGZkOGI3MjZlMGJjYzNkYmU1MjE1Yjg5MTQwYWFmNGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
194f9e2a35fb,10235958,Sunland Dunes Trail,AllTrails,2.5,29.0,3759,3,44.0,Out & Back,,4.0,17,,New Mexico,United States,31.83562,-106.60191,https://www.alltrails.com/trail/us/new-mexico/sunland-dunes-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjU5MTY3ODMvMzY4NTQwYWYwYjViNjVlNGZmNjMyMWQ2OTExZmRjNTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
22e0763da5d5,10747545,Little Hatchet Loop,AllTrails,6.9,2034.0,6630,5,,Loop,,4.9,6,,New Mexico,United States,31.86235,-108.42993,https://www.alltrails.com/trail/us/new-mexico/little-hatchet-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk2OTk5MTgvZDJiZGNiMTlhMGJmYThhZGZkYWIwNGMzZGU3OTNlNTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
702b610be6bd,10902730,Cox Peak,AllTrails,4.7,1561.0,5931,5,180.0,Out & Back,,4.3,6,,New Mexico,United States,31.89729,-107.06104,https://www.alltrails.com/trail/us/new-mexico/cox-peak--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIwNTk0ODAvMGI1M2ViZDQ0YWFhN2QwNTU2OTgzZjg2ZDAwZmRlMTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
642d3b8ff49b,10111461,Anthony Gap Cave Trail,AllTrails,2.6,656.0,5098,3,86.0,Out & Back,,4.4,190,Franklin Mountains State Park,New Mexico,United States,32.01067,-106.52161,https://www.alltrails.com/trail/us/new-mexico/anthony-gap-cave-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjIxMDE2NjkvMTc4Y2UxMWVmNDQxZTFmZWFlYTI4MjI2MmQ2YmQzNTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
