Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
be9727c99d92,Hankinson Hills Trail,AllTrails,7.8,334,1118,1,154.0,Loop,4.2,Sheyenne National Grassland,North Dakota,United States,46.11638,-96.98452,36,https://www.alltrails.com/trail/us/north-dakota/hankinson-hills-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI1NjM2OTMvOTc5Yjg4OGVhNWM5MjFmMWJlOGVjYzQxNTliMjgzNDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8927dd39a52a,Johnsons Gulch Trail,AllTrails,0.7,104,1958,3,18.0,Loop,4.4,,North Dakota,United States,45.99366,-98.88135,3,https://www.alltrails.com/trail/us/north-dakota/johnsons-gulch-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjkxMDg1OTkvNjgxYWQ0YTIxN2VlNDAyYWJiNDQwNjI5MWVkY2UxNTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e6b716d082e5,Tewaukon NWR Whitetail Loop,AllTrails,0.8,13,1171,1,14.0,Loop,4.3,Tewaukon National Wildlife Refuge,North Dakota,United States,46.00127,-97.37305,2,https://www.alltrails.com/trail/us/north-dakota/tewaukon-nwr-whitetail-loop,,2024-04-02
b1020e568440,Chahinkapa Zoo and Campground Loop,AllTrails,2.6,39,964,1,47.0,Loop,3.5,,North Dakota,United States,46.27301,-96.59984,2,https://www.alltrails.com/trail/us/north-dakota/chahinkapa-zoo-and-campground-loop,,2024-04-02
cca03d462705,White Butte North Dakota's Highpoint Trail,AllTrails,3.4,425,3503,1,85.0,Out & Back,4.6,,North Dakota,United States,46.41008,-103.30041,371,https://www.alltrails.com/trail/us/north-dakota/white-butte-north-dakotas-highpoint-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA4MTM3MzYvODE4MmQxYzkzN2UyZjVjN2EwZmIxZDJjOTBjMzM3YTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8e86d0dd7a7f,Mineral Springs Trail,AllTrails,4.3,488,1325,3,,Out & Back,4.4,,North Dakota,United States,46.50274,-97.87823,125,https://www.alltrails.com/trail/us/north-dakota/mineral-springs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyMzEwMjYvNzZlMzhhYWIxZDk1MDM5MmFlZTEyMmU3YjBhNDRiOGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
2ebff43a5d11,"Oak Leaf, N Country Nat'l Scenic Trails Loop",AllTrails,4.0,85,1072,3,73.0,Loop,4.5,Sheyenne National Grassland,North Dakota,United States,46.52297,-97.20165,81,https://www.alltrails.com/trail/us/north-dakota/oak-leaf-n-country-nat-l-scenic-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjAyODgzMTkvNWU0OTM1MWNlNzNlNjZmMTRiN2UwNmVmM2E1YTBjNDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
6a68f399f61e,North Country Trail: Jorgons Hollow Campground to 61st St. SE,AllTrails,11.6,462,1082,3,226.0,Out & Back,4.5,Sheyenne National Grassland,North Dakota,United States,46.52302,-97.20297,49,https://www.alltrails.com/trail/us/north-dakota/north-country-trail-jorgons-hollow-campground-to-61st-st-se,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA3MjQ5NjYvZDMwODFjNGViODM2OTk3MzEyMWM2YmVkODI2MzcyZmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
3d5fd4859bf1,North Country Trail: Sheyenne National Grassland,AllTrails,15.8,147,1089,3,277.0,Point-to-Point,4.1,Sheyenne National Grassland,North Dakota,United States,46.39892,-97.46872,14,https://www.alltrails.com/trail/us/north-dakota/north-country-trail-sheyenne-national-grassland,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDAyMjI2NTEvNDAzNGNmY2I4MDllZmY1NGY5MjRjZjQzZGFhYmQyMGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
bfcd2ed3f394,Beaver Lake State Park Trail,AllTrails,4.1,157,2070,1,80.0,Loop,3.5,Beaver Lake State Park,North Dakota,United States,46.4018,-99.61566,11,https://www.alltrails.com/trail/us/north-dakota/beaver-lake-state-park-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzkzOTM0MjAvYzVhOWM4MjM4YWYxNDYxMzNhMjk1NDNjNDAyYjQzNDYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
f472d15b950a,Fort Rice Historical Site Loop,AllTrails,3.0,44,1650,1,54.0,Loop,3.5,,North Dakota,United States,46.51361,-100.5848,3,https://www.alltrails.com/trail/us/north-dakota/fort-rice-historical-site-loop,,2024-04-02
5c0de42c43ce,Fort Ransom State Park Loop,AllTrails,9.1,733,1371,3,201.0,Loop,4.6,Fort Ransom State Park,North Dakota,United States,46.54376,-97.93581,61,https://www.alltrails.com/trail/us/north-dakota/fort-ransom-state-park-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA1NDMxOTcvMzJmOTUyMDk3NzljZWY2ODk5NWJkYjU5NTU2Nzc0MWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
945eb3787db0,"Little Twig, Nelson 80, Fire Break, and Pederson Hills Trails Loop",AllTrails,4.0,269,1371,1,85.0,Loop,4.6,Fort Ransom State Park,North Dakota,United States,46.54974,-97.93463,50,https://www.alltrails.com/trail/us/north-dakota/little-twig-nelson-80-fire-break-and-pederson-hills-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI5MjYxMTQvMTFlYjdmMWZhMGQwNmIxNzI3M2Q2NWI1ZGI4ZjYzOGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
73b89a482110,Little Twig Trail,AllTrails,0.9,44,1204,1,18.0,Loop,4.4,Fort Ransom State Park,North Dakota,United States,46.55044,-97.9346,43,https://www.alltrails.com/trail/us/north-dakota/little-twig-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI2OTUyNjEvMTRhZTgwNzU1NmI3NjM0ZWYwYzUyN2NiYmE2Nzg4OTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
