Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
66d7938bcbfc,10025886,Basin Trail (aka Hermit Trail),AllTrails,2.2,8.0,3.0,1,38.0,Out & Back,,4.5,424,Fort Fisher State Recreation Area,North Carolina,United States,33.96416,-77.92298,https://www.alltrails.com/trail/us/north-carolina/basin-trail-aka-hermit-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjAyNzM1NjYvMmM2Mjc1ODBkMzM3ZjRiYmNiNTc2YzU0Y2ZiNDM1OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
06aa6448a3de,10268121,Fort Fisher to Bald Head Island Beach Walk,AllTrails,17.7,98.0,13.0,3,306.0,Out & Back,,4.4,91,Fort Fisher State Recreation Area,North Carolina,United States,33.96443,-77.92244,https://www.alltrails.com/trail/us/north-carolina/fort-fisher-to-bald-head-island-beach-walk,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDcyOTkzNjAvNmRhOTcxZWZlMzI0NThhNjkyYjYyNjlmY2RjYmM3OTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
10d56783e944,10264412,Bald Head Island Forest Preserve Loop Trail,AllTrails,3.0,71.0,32.0,1,,Loop,,4.0,68,,North Carolina,United States,33.8569,-77.97961,https://www.alltrails.com/trail/us/north-carolina/bald-head-island-forest-preserve-loop-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkzNTM4NjAvYWMyZTEyOTEzMTMxMDRmMmMyYThhYjhjM2RiN2Q2ODYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c91dbeff6efe,10329881,Boiling Spring Lake Preserve Loop,AllTrails,2.9,26.0,52.0,1,51.0,Loop,,3.8,77,,North Carolina,United States,34.0211,-78.06367,https://www.alltrails.com/trail/us/north-carolina/boiling-spring-lake-preserve-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDgyNjQyNjkvMGEzNzhlZDZiZWQ1YWEwM2VlNDgzNjkyYTA0MjA5YmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f8440db1408f,10711717,Fort Fisher Historic Site,AllTrails,0.6,6.0,13.0,1,11.0,Loop,,4.4,51,,North Carolina,United States,33.97192,-77.91763,https://www.alltrails.com/trail/us/north-carolina/fort-fisher-historic-site,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzE4Njk4MjAvZTUwOGZiZjgxZTJkMTE4MmY5OWY2MTcxZmQ5NTJlZGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
111a10442d98,11245792,1921 Fort Fisher Monument Trail,AllTrails,0.8,16.0,19.0,1,15.0,Out & Back,,4.0,30,Fort Fisher State Recreation Area,North Carolina,United States,33.96843,-77.91864,https://www.alltrails.com/trail/us/north-carolina/1921-fort-fisher-monument-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjc3NjY4MTAvNTYwOTk0MWE3ZjI1YTU5YTU0MjQ2YWU2ZGFlNDhiODAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c5eb3a726e38,11096243,Ocean Isle Beach Nature Trail,AllTrails,0.7,3.0,6.0,1,12.0,Point-to-Point,,4.5,7,,North Carolina,United States,33.89687,-78.40347,https://www.alltrails.com/trail/us/north-carolina/ocean-isle-beach-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgzMTc2MzIvMDEyMDI5NjU4NTgzMWMwNmRjZDlhZGJhMmYyYzM4ZjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
5fcc56d83ff5,10000762,Sugarloaf Trail,AllTrails,2.9,35.0,19.0,1,52.0,Loop,,4.6,874,Carolina Beach State Park,North Carolina,United States,34.04903,-77.91914,https://www.alltrails.com/trail/us/north-carolina/sugarloaf-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA1MDg0OTkvNjcxNTAyZjljYjFkMTIyMzIyNjU0Mzg4YWIwNmIxODUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
71ce9cd7be3f,10324588,Venus Fly Trap to Sugarloaf Loop ,AllTrails,2.7,35.0,19.0,1,48.0,Loop,,4.5,394,Carolina Beach State Park,North Carolina,United States,34.04802,-77.9135,https://www.alltrails.com/trail/us/north-carolina/venus-fly-trap-to-sugarloaf-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg4NDEwNTYvYWM1OTkzOTRhZjZhYTIwY2NmNWM1ODBlNTA4MTY5NmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
550f2cdababf,10020369,Carolina Beach State Park Campground Trail,AllTrails,3.7,52.0,19.0,1,66.0,Loop,,4.6,351,Carolina Beach State Park,North Carolina,United States,34.04866,-77.90954,https://www.alltrails.com/trail/us/north-carolina/carolina-beach-state-park-campground-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTUxOTM0NDAvNzAyOTJmOTEwOGY5ZDkyMGU2NDVmNjc5Y2U2MTc3MzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
