Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
526267ef2c31,10676080,Hankinson Hills Trail,AllTrails,7.8,334,1118,1,154.0,Loop,,4.2,37,Sheyenne National Grassland,North Dakota,United States,46.11638,-96.98452,https://www.alltrails.com/trail/us/north-dakota/hankinson-hills-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI1NjM2OTMvOTc5Yjg4OGVhNWM5MjFmMWJlOGVjYzQxNTliMjgzNDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
1c35bba9518d,10932536,Johnsons Gulch Trail,AllTrails,0.7,104,1958,3,18.0,Loop,,4.4,3,,North Dakota,United States,45.99366,-98.88135,https://www.alltrails.com/trail/us/north-dakota/johnsons-gulch-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjkxMDg1OTkvNjgxYWQ0YTIxN2VlNDAyYWJiNDQwNjI5MWVkY2UxNTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ead0859d3943,10990432,Tewaukon NWR Whitetail Loop,AllTrails,0.8,13,1171,1,14.0,Loop,,4.3,2,Tewaukon National Wildlife Refuge,North Dakota,United States,46.00127,-97.37305,https://www.alltrails.com/trail/us/north-dakota/tewaukon-nwr-whitetail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA2NTY2ODEvMTBmMmE0Yjg1NzAxOGQ0MWM5MmM2ODg4NzI0NmI3MjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
2d4682919567,10945845,Chahinkapa Zoo and Campground Loop,AllTrails,2.6,39,964,1,47.0,Loop,,3.5,2,,North Dakota,United States,46.27301,-96.59984,https://www.alltrails.com/trail/us/north-dakota/chahinkapa-zoo-and-campground-loop,,2024-05-14
01da4123ca69,10259850,White Butte North Dakota's Highpoint Trail,AllTrails,3.4,425,3503,1,85.0,Out & Back,,4.6,376,,North Dakota,United States,46.41008,-103.30041,https://www.alltrails.com/trail/us/north-dakota/white-butte-north-dakotas-highpoint-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDk4NDU5NDUvZWM1YjRjNGYxNmMzOTQxY2QwZjdhM2RmZDY3NzhiNzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
0f1d51807974,10485607,Mineral Springs Trail,AllTrails,4.3,488,1325,3,,Out & Back,,4.4,126,,North Dakota,United States,46.50274,-97.87823,https://www.alltrails.com/trail/us/north-dakota/mineral-springs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyMzEwMjYvNzZlMzhhYWIxZDk1MDM5MmFlZTEyMmU3YjBhNDRiOGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d5354d04ae40,10997140,"Oak Leaf, N Country Nat'l Scenic Trails Loop",AllTrails,4.0,85,1072,3,73.0,Loop,,4.6,94,Sheyenne National Grassland,North Dakota,United States,46.52297,-97.20165,https://www.alltrails.com/trail/us/north-dakota/oak-leaf-n-country-nat-l-scenic-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjAyODgzMTkvNWU0OTM1MWNlNzNlNjZmMTRiN2UwNmVmM2E1YTBjNDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
a15e6f10ba39,10559628,North Country Trail: Jorgons Hollow Campground to 61st St. SE,AllTrails,11.6,462,1082,3,226.0,Out & Back,,4.5,51,Sheyenne National Grassland,North Dakota,United States,46.52302,-97.20297,https://www.alltrails.com/trail/us/north-dakota/north-country-trail-jorgons-hollow-campground-to-61st-st-se,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA3MjQ5NjYvZDMwODFjNGViODM2OTk3MzEyMWM2YmVkODI2MzcyZmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
45ce6bdb1482,10556959,North Country Trail: Sheyenne National Grassland,AllTrails,15.8,147,1089,3,277.0,Point-to-Point,,4.1,14,Sheyenne National Grassland,North Dakota,United States,46.39892,-97.46872,https://www.alltrails.com/trail/us/north-dakota/north-country-trail-sheyenne-national-grassland,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI3NTE1NjMvYzBmMWIxNzljY2JiMzEyMDZkM2JmY2IwNzVkZjcyYzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
d52696f22fde,10294280,Beaver Lake State Park Trail,AllTrails,4.1,157,2070,1,80.0,Loop,,3.5,11,Beaver Lake State Park,North Dakota,United States,46.4018,-99.61566,https://www.alltrails.com/trail/us/north-dakota/beaver-lake-state-park-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTk1MzkwMjAvZmExNzY5ZWYwMWUxMDJlNTg1YTQ0OTFhYzY5NGQ4YTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
