Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
9f7f72b42a94,10365329,Gas Well Loop,AllTrails,2.7,124.0,869,3,54.0,Loop,,3.6,70,,Ohio,United States,38.58098,-82.72431,https://www.alltrails.com/trail/us/ohio/gas-well-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY1MDcxOTAvZmQwMjgzMGUzOTljYThiMmQwZjIxYzI1ZDI3M2IxODEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ee6496b6e80c,10023288,Buzzardroost Rock Trail,AllTrails,4.6,455.0,971,3,107.0,Out & Back,,4.6,644,Edge of Appalachia Preserve,Ohio,United States,38.77127,-83.42572,https://www.alltrails.com/trail/us/ohio/buzzardroost-rock-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY3ODU4ODAvODlmMTk0NGJiMGEyMjc1OWFmNTliOTQyMjBhNTcxNjAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
62af0a802760,10025551,Lake Vesuvius Lakeshore Trail,AllTrails,7.6,531.0,695,3,163.0,Loop,,4.4,527,Lake Vesuvius Recreation Area,Ohio,United States,38.60972,-82.63422,https://www.alltrails.com/trail/us/ohio/lake-vesuvius-lakeshore-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjA1NjQwMTgvMmY5NGQ2MTliZGQ2OTE2ZjI2NzRhZDg5NzZhMDc3MDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4288d51367db,10270129,Raven Rock Trail ,AllTrails,2.5,576.0,1043,3,79.0,Out & Back,,4.6,478,Raven Rock State Nature Preserve,Ohio,United States,38.71896,-83.05088,https://www.alltrails.com/trail/us/ohio/raven-rock,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzU1NzE1ODUvMWVmMzIwYmM1NjdhZmMzMjkwYTg5OWE3N2NkMDg4MzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
7c611a759f1a,10585173,Park Loop Trail,AllTrails,4.7,556.0,1122,3,115.0,Loop,,4.5,248,Shawnee State Park,Ohio,United States,38.73788,-83.19992,https://www.alltrails.com/trail/us/ohio/park-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc2NzIwMzUvZWFlMjI4NjlkNjJkMzI2OGY3ZDlhMTUzNDYzZDljZmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
2be5d443d9e5,10332185,Shawnee State Park North Loop,AllTrails,19.7,4179.0,1272,7,602.0,Loop,,4.3,183,Shawnee State Park,Ohio,United States,38.74193,-83.19751,https://www.alltrails.com/trail/us/ohio/shawnee-state-park-north-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA3MjI5OTUvYjk1NmUwMDJhNTgwZDVhZGJjZjQ2OTA4ZjJmOTNlNGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
603f72a894c9,10260517,Lake Vesuvius Backpack Trail,AllTrails,18.1,2119.0,1003,5,443.0,Loop,,4.0,162,Lake Vesuvius Recreation Area,Ohio,United States,38.61024,-82.6349,https://www.alltrails.com/trail/us/ohio/lake-vesuvius-backpack-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTc2MzM4MDQvMmU1NmRjZGEzN2JlYWQwYTdhMTQ0NzA3MDNkYzMzNWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
bece1a53cbca,10718477,Lake Vesuvius Big Bend Beach Trail,AllTrails,2.8,75.0,623,1,52.0,Out & Back,,4.3,98,Lake Vesuvius Recreation Area,Ohio,United States,38.61011,-82.63473,https://www.alltrails.com/trail/us/ohio/lake-vesuvius-big-bend-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjg2ODczNDUvY2I5MDBhMTEyODFlNGM1MWQ1Nzg1YjUzZWEyNjJjNjguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
2247f5178c85,10112424,Shawnee Backpackers Trail: Backpack Trailhead to Camp 7,AllTrails,10.3,1465.0,1269,5,268.0,Out & Back,,4.3,160,Shawnee State Park,Ohio,United States,38.73804,-83.20014,https://www.alltrails.com/trail/us/ohio/shawnee-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDcyNzczNDkvODc1ODUzMWNlYzZhMWNkNThkNjExMTZjZDBhNWYxNTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
bef842754b00,10924468,Lake Vesuvius Backpack and Lakeshore Loop,AllTrails,6.2,724.0,853,3,152.0,Loop,,4.4,83,Lake Vesuvius Recreation Area,Ohio,United States,38.60543,-82.63026,https://www.alltrails.com/trail/us/ohio/lake-vesuvius-backpack-and-lakeshore-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjczNDAzNDUvNmE4MTU4NjI3OWYzM2EwNjI3ZjhjNDJmMDZhNTU2NTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
