Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
a9a46c9fa3cc,Kelly's Run Loop Trail,AllTrails,3.6,616.0,734.0,3,100.0,Loop,4.7,Holtwood Recreation Park,Pennsylvania,United States,39.8409,-76.31671,3249,https://www.alltrails.com/trail/us/pennsylvania/kellys-run-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzcwMjI0MjQvMWViYmEwZDE1YTg1MDI3ZDU3MjI2MzBmZGQ5YmRiZDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
bcd85da8a1b5,Ferncliff Trail,AllTrails,1.8,136.0,1236.0,1,39.0,Loop,4.6,Ohiopyle State Park,Pennsylvania,United States,39.87221,-79.49479,1296,https://www.alltrails.com/trail/us/pennsylvania/ferncliff-peninsula-natural-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzA3MDg5NjYvM2NjYmE4NzgwZGIxNzRkMzE0OTUyYjViYjU1ZmY3YjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
65192fc46455,"Great Gorge, Great Allegheny Passage Loop",AllTrails,3.0,275.0,1269.0,1,69.0,Loop,4.6,Ohiopyle State Park,Pennsylvania,United States,39.86281,-79.50269,1016,https://www.alltrails.com/trail/us/pennsylvania/great-gorge-great-allegheny-passage-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA5Mzc1MzEvNWJjNGJiNzcxYmI1M2NmMTdmZDY1MzUwMDI0ZTAwMzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
3d5b7b90c0e0,Meadow Run Trail,AllTrails,3.0,432.0,1601.0,3,79.0,Loop,4.6,Ohiopyle State Park,Pennsylvania,United States,39.85352,-79.49721,1013,https://www.alltrails.com/trail/us/pennsylvania/meadow-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkzOTE5MDMvNTQ4ZjM4MWYyYmY4ZWJlZDAzYzYwN2NjMGUzMTk5NWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
540593ae7763,John Heinz Lake Loop,AllTrails,3.5,32.0,13.0,1,62.0,Loop,4.5,John Heinz National Wildlife Refuge,Pennsylvania,United States,39.89254,-75.25756,1429,https://www.alltrails.com/trail/us/pennsylvania/john-heinz-lake-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjAwNjUyMTkvYmRjNzlmMzAxMmU5M2YzMTE3MWVkNDU2MGJkMmQ0MDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
177d8d202228,Chimney Rocks via Hermitage and Appalachian National Scenic Trail ,AllTrails,4.4,987.0,1945.0,3,138.0,Loop,4.6,Michaux State Forest,Pennsylvania,United States,39.79729,-77.47995,1086,https://www.alltrails.com/trail/us/pennsylvania/chimney-rocks-michaux-state-forest,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI4NzcxMTMvMjUwNjFmMTAxNzg3YTA0OTg2NmQ1Mjk3MTk0NWI3NTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
b746caf1a937,Great Gorge Trail,AllTrails,5.0,767.0,1683.0,3,134.0,Out & Back,4.4,Ohiopyle State Park,Pennsylvania,United States,39.86216,-79.4949,775,https://www.alltrails.com/trail/us/pennsylvania/great-gorge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTc5MzA5NDMvNGQ1MzI1ODdiZTgzMjQ3NTdjZTcyODVlZjBiOTAzZjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0701e171731d,Pinnacle Overlook from Pequea via Conestoga Trail,AllTrails,10.3,3080.0,702.0,5,372.0,Out & Back,4.5,,Pennsylvania,United States,39.88837,-76.36642,738,https://www.alltrails.com/trail/us/pennsylvania/pinnacle-overlook-from-pequea-via-conestoga-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY5NjM1MTcvYTFlZGIyYTFhOWRjNjFhMTBiYzQwMjA4NGI2OGRkZGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
bf07eb928503,Cucumber Falls,AllTrails,0.3,71.0,1250.0,3,10.0,Out & Back,4.5,Ohiopyle State Park,Pennsylvania,United States,39.8628,-79.5028,546,https://www.alltrails.com/trail/us/pennsylvania/cucumber-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDE1MDc1MDYvMmNjODNmZjczNzZlZDA3YTg0ZjVkNDY2OTY5MGY0NDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
fdb4b6e992a2,Mason-Dixon Trail: Lock 12 to E Posey Rd,AllTrails,9.5,1663.0,734.0,5,268.0,Out & Back,4.5,,Pennsylvania,United States,39.81338,-76.32793,1069,https://www.alltrails.com/trail/us/pennsylvania/mason-dixon-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjcwMjQxMTkvZmI5OWQ1ZjI4NDg0NTdhNjU5YTlhZTc5MTEzN2QwMDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
deef87ccfa8c,Jonathan Run Falls via Jonathan Run Trail,AllTrails,2.5,193.0,1400.0,1,55.0,Out & Back,4.5,Ohiopyle State Park,Pennsylvania,United States,39.89191,-79.50731,775,https://www.alltrails.com/trail/us/pennsylvania/youghiogheny-river-trail-to-jonathan-run-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcyNzI3OTcvZTBjYTAxNWJhN2IxMWEwMGJlNTkxNWIwYjdiNWUzOWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
