Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
a6e58029d894,10024552,Kelly's Run Loop Trail,AllTrails,3.8,629.0,734.0,3,105.0,Loop,,4.7,3334,,Pennsylvania,United States,39.84087,-76.31661,https://www.alltrails.com/trail/us/pennsylvania/kellys-run-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkwNTU5NzYvMjM3MzgwNzE5NDJiZDgwMmVjOTVmZDBlOTU1MGEwMTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c8aba0cceb95,10037811,Ferncliff Trail,AllTrails,1.8,136.0,1236.0,1,39.0,Loop,,4.6,1327,Ohiopyle State Park,Pennsylvania,United States,39.87221,-79.49479,https://www.alltrails.com/trail/us/pennsylvania/ferncliff-peninsula-natural-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjc2NDEyNTQvZjg3OTc2MThmM2NkMzYxZmE3ODRhNDIxYWQ4MWFlNmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
81dee7435868,10338178,"Great Gorge, Great Allegheny Passage Loop",AllTrails,3.0,275.0,1269.0,1,69.0,Loop,,4.6,1057,Ohiopyle State Park,Pennsylvania,United States,39.86281,-79.50269,https://www.alltrails.com/trail/us/pennsylvania/great-gorge-great-allegheny-passage-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA5Mzc1MzEvNWJjNGJiNzcxYmI1M2NmMTdmZDY1MzUwMDI0ZTAwMzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
ade124ad18f0,10038656,John Heinz Lake Loop,AllTrails,3.5,32.0,13.0,1,62.0,Loop,,4.5,1475,John Heinz National Wildlife Refuge,Pennsylvania,United States,39.89254,-75.25756,https://www.alltrails.com/trail/us/pennsylvania/john-heinz-lake-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE5ODIzMDIvN2UyZjY0YWUxYjNiMGEwOTZkMjg1MTM4ZWViZGM2OTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
6c909608cb87,10239516,Meadow Run Trail,AllTrails,3.0,432.0,1601.0,3,79.0,Loop,,4.6,1029,Ohiopyle State Park,Pennsylvania,United States,39.85352,-79.49721,https://www.alltrails.com/trail/us/pennsylvania/meadow-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkzOTE5MDMvNTQ4ZjM4MWYyYmY4ZWJlZDAzYzYwN2NjMGUzMTk5NWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
f39f03fcd0a0,10029313,Chimney Rocks via Hermitage and Appalachian National Scenic Trail ,AllTrails,4.4,987.0,1945.0,3,138.0,Loop,,4.6,1109,Michaux State Forest,Pennsylvania,United States,39.79729,-77.47995,https://www.alltrails.com/trail/us/pennsylvania/chimney-rocks-michaux-state-forest,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQwMjI4NTQvMTdhNzliMGQyNGExYTZkOGUyN2RmMjE1MzVlNWVhODMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4957cbac89b1,10001836,Great Gorge Trail,AllTrails,5.0,767.0,1683.0,3,134.0,Out & Back,,4.4,780,Ohiopyle State Park,Pennsylvania,United States,39.86216,-79.4949,https://www.alltrails.com/trail/us/pennsylvania/great-gorge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY0NzA3NjQvOTM5N2QzZTBkZjEyZWJiZDIwZmQzMTFjMTcxNGE2M2UuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b23d27084f07,10291069,Pinnacle Overlook from Pequea via Conestoga Trail,AllTrails,10.3,3080.0,702.0,5,372.0,Out & Back,,4.5,747,,Pennsylvania,United States,39.88837,-76.36642,https://www.alltrails.com/trail/us/pennsylvania/pinnacle-overlook-from-pequea-via-conestoga-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg3Mjg4NzEvY2Q1NDM5ODg4ZmI0ZGY4NzQyYTY0OThiM2U0ZjZmMDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
65f316c5d1b0,10332529,Cucumber Falls,AllTrails,0.3,71.0,1250.0,3,10.0,Out & Back,,4.5,560,Ohiopyle State Park,Pennsylvania,United States,39.8628,-79.5028,https://www.alltrails.com/trail/us/pennsylvania/cucumber-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA3MDU4NzIvYjU5ZWFkZWE1ZjJjOGNiMmU5ODExNDNmNDZmNDAzMmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
af59279f4c9b,10246192,Mason-Dixon Trail: Lock 12 to E Posey Rd,AllTrails,9.5,1663.0,734.0,5,268.0,Out & Back,,4.5,1088,,Pennsylvania,United States,39.81338,-76.32793,https://www.alltrails.com/trail/us/pennsylvania/mason-dixon-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ5NzA2NDAvODllN2JkN2U5NjkwOGU4NDVkMWY0ZGNiMTEwYzhmNmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
