Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
5c307d9af55c,Napatree Point Conservation Area Trail,AllTrails,3.2,26,13,1,56.0,Loop,4.5,,Rhode Island,United States,41.31008,-71.85867,605,https://www.alltrails.com/trail/us/rhode-island/napatree-point-conservation-area-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg4MDQxMTYvMDRmY2YwMjExODU0N2U5YjE3OGI2M2RkNzE1YTViY2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d318fcface86,Dr. John Champlin Glacier Trail ,AllTrails,2.1,136,101,1,45.0,Loop,4.3,,Rhode Island,United States,41.34334,-71.80613,450,https://www.alltrails.com/trail/us/rhode-island/dr-john-champlin-glacier-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkyMzg2NTEvNTAyNDNiZWNlYzNiNjNhY2NiYjllYmU5MTI0MjhiYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
c31bc3ca3327,Clay Head Trail,AllTrails,3.5,203,111,1,73.0,Out & Back,4.6,,Rhode Island,United States,41.20967,-71.56857,309,https://www.alltrails.com/trail/us/rhode-island/clay-head-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc5NjAwOTUvNWQ1ODkzMTdkNGJiM2Y5ZDQ5NTdhMWMzNGNhMWIyMmUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e10d25445340,Rodman's Hollow Trail,AllTrails,0.9,95,131,3,21.0,Loop,4.6,Rodman's Hollow Nature Preserve,Rhode Island,United States,41.15752,-71.59103,173,https://www.alltrails.com/trail/us/rhode-island/rodmans-hollow-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc2OTY4MjQvOWMyNDA1NjMyZmYwZTBiYTUwNWRlMzM3YjJlNTM4ODIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
774c82dc6c6b,Block Island Greenway Traverse: Payne Rd to Beacon Hill Rd,AllTrails,5.6,428,170,3,123.0,Point-to-Point,4.6,,Rhode Island,United States,41.16025,-71.56437,117,https://www.alltrails.com/trail/us/rhode-island/block-island-greenway-traverse-payne-rd-to-beacon-hill-rd,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTY4OTI5NzIvMzc0OTNhMWFkZGI4MDExYmVkOGM4YWI2Y2JhOTE3ZjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
1329369a9d1c,North Lighthouse Trail,AllTrails,0.7,13,26,1,12.0,Point-to-Point,4.6,,Rhode Island,United States,41.2246,-71.56746,70,https://www.alltrails.com/trail/us/rhode-island/north-lighthouse-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDExMDQwMDQvODFjNGI5ZmU4MDZiMjMyMTZiZDcxN2I5ZGMyODg0NjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
88dc22aed864,North South Trail: Charlestown to Wood River Junction,AllTrails,12.2,688,200,3,249.0,Point-to-Point,4.3,East Beach State Beach,Rhode Island,United States,41.34389,-71.68985,83,https://www.alltrails.com/trail/us/rhode-island/north-south-trail-charlestown,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY3OTI2MTIvYzNjZTc4MmViMGM5MTE0M2YzNzVhODMwMDQ5Y2I3MWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
2c80f14a3909,Mohegan Bluffs Trail,AllTrails,0.9,110,134,3,,Out & Back,4.1,,Rhode Island,United States,41.1529,-71.55528,72,https://www.alltrails.com/trail/us/rhode-island/mohegan-bluffs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc1NjY1ODMvZmEyNmI5Y2EwNWVmYTQ2M2RhYzI1MTMzZDVkNWFjM2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0170b838653c,North South Full Trail,AllTrails,75.3,4694,803,5,1555.0,Point-to-Point,4.1,,Rhode Island,United States,41.34209,-71.6947,60,https://www.alltrails.com/trail/us/rhode-island/north-south-full-trail,,2024-04-02
3ce9b844d093,Dickens Point,AllTrails,0.7,21,62,1,13.0,Out & Back,4.5,Lewis-Dickens Farm Nature Preserve,Rhode Island,United States,41.15471,-71.60561,58,https://www.alltrails.com/trail/us/rhode-island/dickens-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI5MjAxNDIvZDJjOGJjYjgzMDljODAzYjlkZTliOGY4MjcxMjNiOWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
