Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
5708bf1b8ffd,10263237,Napatree Point Conservation Area Trail,AllTrails,3.2,26,13,1,56.0,Loop,,4.5,622,,Rhode Island,United States,41.31008,-71.85867,https://www.alltrails.com/trail/us/rhode-island/napatree-point-conservation-area-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTAzMDQxNzYvOGY5ZmRkOWMzNjk2ZTk0MmIyMzAxYTUyYzMyZTczMDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
1e0019685542,10281521,Dr. John Champlin Glacier Trail ,AllTrails,2.1,136,101,1,45.0,Loop,,4.3,458,,Rhode Island,United States,41.34334,-71.80613,https://www.alltrails.com/trail/us/rhode-island/dr-john-champlin-glacier-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTkyMzg2NTEvNTAyNDNiZWNlYzNiNjNhY2NiYjllYmU5MTI0MjhiYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
0099188cc187,10029151,Clay Head Trail,AllTrails,3.5,203,111,1,73.0,Out & Back,,4.6,311,,Rhode Island,United States,41.20967,-71.56857,https://www.alltrails.com/trail/us/rhode-island/clay-head-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc5NjAwOTUvNWQ1ODkzMTdkNGJiM2Y5ZDQ5NTdhMWMzNGNhMWIyMmUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
831e5f3e3d7e,10749202,Block Island Greenway Traverse: Payne Rd to Beacon Hill Rd,AllTrails,5.6,428,170,3,123.0,Point-to-Point,,4.6,120,,Rhode Island,United States,41.16025,-71.56437,https://www.alltrails.com/trail/us/rhode-island/block-island-greenway-traverse-payne-rd-to-beacon-hill-rd,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTY4OTI5NzIvMzc0OTNhMWFkZGI4MDExYmVkOGM4YWI2Y2JhOTE3ZjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
7700c08c5ace,10038740,Rodman's Hollow Trail,AllTrails,0.9,95,131,3,21.0,Loop,,4.6,175,Rodman's Hollow Nature Preserve,Rhode Island,United States,41.15752,-71.59103,https://www.alltrails.com/trail/us/rhode-island/rodmans-hollow-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI5NjkxMTkvYTU4MGIxZmFlNThiZTRmMzU3Y2JmOWY1ZmFiNGMwMDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
317d05594519,10346424,North Lighthouse Trail,AllTrails,0.7,13,26,1,12.0,Point-to-Point,,4.6,70,,Rhode Island,United States,41.2246,-71.56746,https://www.alltrails.com/trail/us/rhode-island/north-lighthouse-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDExMDQwMDQvODFjNGI5ZmU4MDZiMjMyMTZiZDcxN2I5ZGMyODg0NjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
56d8c13cf5f3,10111839,North South Trail: Charlestown to Wood River Junction,AllTrails,12.2,688,200,3,249.0,Point-to-Point,,4.4,87,East Beach State Beach,Rhode Island,United States,41.34389,-71.68985,https://www.alltrails.com/trail/us/rhode-island/north-south-trail-charlestown,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTU3MzUxMjgvMTM5NTI2MTM5MThjY2I1NDQ4NjE5YjkyOWFhY2Q1MjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
38cae410d7a1,10030793,Mohegan Bluffs Trail,AllTrails,0.9,110,134,3,,Out & Back,,4.1,73,,Rhode Island,United States,41.1529,-71.55528,https://www.alltrails.com/trail/us/rhode-island/mohegan-bluffs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc3MzcxODAvZWJhMTI5NTcwMmQ3Nzg3ZjY0MjQyOWExMTUzMjRjOTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b4864d30ec8c,10845184,North South Full Trail,AllTrails,75.3,4694,803,5,1555.0,Point-to-Point,,4.0,59,,Rhode Island,United States,41.34209,-71.6947,https://www.alltrails.com/trail/us/rhode-island/north-south-full-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg1NjUwNTUvMmEzYzUyNmRkNTkyNjdiOTM1NTVlMTBkMjFmYmI3Y2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
8bec5a668961,10353784,Dickens Point,AllTrails,0.7,21,62,1,13.0,Out & Back,,4.5,58,Lewis-Dickens Farm Nature Preserve,Rhode Island,United States,41.15471,-71.60561,https://www.alltrails.com/trail/us/rhode-island/dickens-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg1OTA3MzAvYjQ1OTBjZjcxYTRiMDJjMDcxZWY0YmY2NDQ3NTRmOTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
99822beb90f5,10783854,Avondale Trail,AllTrails,1.0,8,13,1,18.0,Loop,,4.6,58,,Rhode Island,United States,41.33217,-71.83477,https://www.alltrails.com/trail/us/rhode-island/avondale-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjg0MDQzMzIvNjEwZmRiYWNkYjBhMWUxOTMyNDZlZmI3YmI1NWQ2MjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
0521120c4495,10692337,Lathrop Wildlife Refuge Trail,AllTrails,0.4,6,19,1,7.0,Out & Back,,3.8,34,Lathrop Wildlife Refuge,Rhode Island,United States,41.33255,-71.8055,https://www.alltrails.com/trail/us/rhode-island/lathrop-wildlife-refuge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY4NzY5NjcvNzE3ODEwZDZjOTdlZDA1NmYxYjA3M2EyM2QyZjdhZmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
59f13d5ac876,10467891,Meadow Hill Trail,AllTrails,0.8,44,49,1,16.0,Out & Back,,4.5,22,,Rhode Island,United States,41.17143,-71.57189,https://www.alltrails.com/trail/us/rhode-island/meadow-hill-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTAzMjMwNzQvYWZmZGRlZDQ1MDYwMDZlZWMxNzY2YTRjOGNmN2JmNzcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
10f873936e5a,10505398,Mastuxet Brook Greenway,AllTrails,0.4,3,36,1,7.0,Loop,,3.3,27,,Rhode Island,United States,41.34554,-71.81489,https://www.alltrails.com/trail/us/rhode-island/mastuxet-brook-greenway,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjM1MTQ4ODcvZmFmMmE1YzBlMzMzZjA3MjFlMmM5OTQ2ZGRjMmU0OTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
