Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
93dc4e789991,Pinckney Island Ride Trail,AllTrails,4.1,8.0,9.0,1,70.0,Loop,4.5,Pickney Island National Wildlife Refuge,South Carolina,United States,32.23364,-80.77955,698,https://www.alltrails.com/trail/us/south-carolina/pinckney-island-ride-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDUxMDg4NDAvNWVjMGM3YzIxNDVkZmQxYWMwZWM0MjNhMDgxMzNlYWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
edb26f4a68e4,Sea Pines Forest Preserve,AllTrails,3.3,6.0,9.0,1,56.0,Loop,4.4,Sea Pines Forest Preserve,South Carolina,United States,32.14645,-80.78187,725,https://www.alltrails.com/trail/us/south-carolina/sea-pines-forest-preserve,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzE4MTM2NDkvNGE0OGVmYWYxYjFkYjI2YWY3NGI5ZWRkMmYyZWZjY2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
891cbfc9760f,Ibis Pond Loop,AllTrails,1.8,6.0,9.0,1,31.0,Loop,4.5,Pickney Island National Wildlife Refuge,South Carolina,United States,32.23375,-80.77858,381,https://www.alltrails.com/trail/us/south-carolina/ibis-pond-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzIzNDM3NDAvMjM0NzE0ZTUyYjA5NDA1ZTJkMjhkZTdkMjA5NDlkZDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
04d338c006a2,Mackay Creek Beach Trail,AllTrails,7.8,54.0,13.0,3,136.0,Out & Back,4.6,Pickney Island National Wildlife Refuge,South Carolina,United States,32.23371,-80.7787,354,https://www.alltrails.com/trail/us/south-carolina/mackay-creek-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk4NjkzNDAvMDVlY2I1ZTc5NzNlNDNhMzkxNGU2NjExMzMxNjFhYTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
60c7bc8e489c,Audubon Newhall Preserve Trail,AllTrails,0.6,,6.0,1,10.0,Loop,4.3,Audubon Newhall Preserve,South Carolina,United States,32.16431,-80.77099,141,https://www.alltrails.com/trail/us/south-carolina/audubon-newhall-preserve--5,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDgwNTkyMTIvYjBjMTBkOGY0MDYwOGU0NGZmMjhiZmMwYWM2OTRiYmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
073e6edc3338,Audubon Newhall Pond Loop,AllTrails,0.4,,6.0,1,7.0,Loop,4.3,Audubon Newhall Preserve,South Carolina,United States,32.16417,-80.77122,23,https://www.alltrails.com/trail/us/south-carolina/audubon-newhall-pond-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTg4NjU2NDUvYTBjNjNiY2ZkMTZkNDYwNTc4NzQ4OTdhOGY5ZTdmYmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
61cb89ff9124,Little Back River Trail,AllTrails,5.5,6.0,3.0,1,94.0,Loop,3.8,Savannah National Wildlife Refuge,South Carolina,United States,32.17319,-81.09704,74,https://www.alltrails.com/trail/us/south-carolina/little-back-river-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzAzMzg0ODQvOTFhYmQ3ODQxMTRkNDRhYzkwZWIzM2FjOGM4Y2E3N2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
e6c007f07927,Raccoon Island Trail,AllTrails,2.6,21.0,13.0,1,46.0,Loop,3.9,Savannah National Wildlife Refuge,South Carolina,United States,32.14444,-81.10313,15,https://www.alltrails.com/trail/us/south-carolina/raccoon-island-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjU1NzA4OTcvMGUxOWMxNzFhMzM1ZTQ4Zjc2NjQ4M2RhYzBiZmQ1Y2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
897baff8638c,Recess Plantation Trail,AllTrails,3.2,3.0,3.0,1,55.0,Loop,4.6,Savannah National Wildlife Refuge,South Carolina,United States,32.16181,-81.11429,11,https://www.alltrails.com/trail/us/south-carolina/recess-plantation-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjkyOTY1NTEvNTkwZWFhYzU0NDIyNmU2MDFhYTJmODU4MWI2N2IzNDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
245ccd530b55,Plantation Island Trail,AllTrails,3.1,6.0,3.0,1,53.0,Out & Back,3.8,Savannah National Wildlife Refuge,South Carolina,United States,32.15437,-81.10815,10,https://www.alltrails.com/trail/us/south-carolina/plantation-island-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjU5NDYzNjYvMmRmNmE5NzUwY2U4ZDY0YmQwYjkyMzJkYjVkNzdlNjUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
