Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
13efbc1b1532,Montebella Park Loop,AllTrails,3.2,19.0,36,1,55.0,Loop,4.4,,Texas,United States,25.95333,-97.5411,108,https://www.alltrails.com/trail/us/texas/montebella-park-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI4OTQ3MjYvNjIyOTE0NTcwNDdmZTUyOTRkZjU0YThhMTRmYWIyZWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
3fb2b18d395c,Mesquite Trail and Tram Loop,AllTrails,3.4,19.0,42,1,59.0,Loop,4.5,Resaca de la Palma State Park,Texas,United States,25.99632,-97.57132,92,https://www.alltrails.com/trail/us/texas/mesquite-trail-and-tram-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkxNjc5OTUvNGZkNWFhN2NkOGUyYmJlM2E3MWQzOGY3ZWU0M2E5YTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
4217f3b29a00,Brownsville Historic Battlefield Trail ,AllTrails,17.0,124.0,45,1,296.0,Out & Back,4.4,,Texas,United States,25.91716,-97.49553,100,https://www.alltrails.com/trail/us/texas/brownsville-historic-battlefield-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY5MDg5ODEvYTc0ODg4YzRiYmUxODA4MGM3ZGZiMjkyNmM0YzYyNmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5960c5e03e95,"Mesquite, Mexican Olive, Tram Road, Flycatcher, Yellowthroat Loop",AllTrails,5.7,26.0,42,1,98.0,Loop,4.3,Resaca de la Palma State Park,Texas,United States,25.9963,-97.56923,43,https://www.alltrails.com/trail/us/texas/mesquite-mexican-olive-tram-road-flycatcher-yellowthroat-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc3NzM1NDMvODRkZDlhOTU1OGJiZjc4MmRiMWY0Mjk0NjEyMTE1MjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5a7516ba5427,Ebony Trail,AllTrails,0.5,3.0,39,1,9.0,Out & Back,4.2,Resaca de la Palma State Park,Texas,United States,25.99664,-97.56851,20,https://www.alltrails.com/trail/us/texas/ebony-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIxNTAyMzYvMWY5YzgxNjM3MzY4Y2QxYzdhM2EyNTAzNDVjNGU2NWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5e6487bbac27,Mission Bike Trail Loop,AllTrails,6.4,42.0,121,3,111.0,Loop,4.6,,Texas,United States,26.19278,-98.33064,629,https://www.alltrails.com/trail/us/texas/mission-bike-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTUwOTc5NjIvYjc2ZmRkZTE3ZjI1ZjBkNzg2MTY5MzM5NTA4YmU2MjguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
9b94c166de1f,Bentsen Rio Grande Valley Loop Trail,AllTrails,4.4,32.0,118,3,77.0,Loop,4.4,Bentsen-Rio Grande Valley State Park,Texas,United States,26.18613,-98.37856,296,https://www.alltrails.com/trail/us/texas/bentsen-rio-grande-valley-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTYyMzg5MDUvODc3MGY1NDI5OTYzOWU2NGRlNGExYTdmYWZiYzYxYjguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
0e217445b418,Arroyo Hike and Bike Trail,AllTrails,3.7,98.0,39,1,69.0,Out & Back,4.5,,Texas,United States,26.18029,-97.67944,173,https://www.alltrails.com/trail/us/texas/arroyo-hike-and-bike-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDUzOTQwODcvN2IyNjllOGJjNDg5ZDhkMjE0YjIyOWZhMjYwOGJhNTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
9eddefc2a7f3,Santa Ana North Lake Loop Trail,AllTrails,1.9,16.0,91,1,33.0,Loop,4.6,Santa Ana National Wildlife Refuge,Texas,United States,26.0823,-98.13557,91,https://www.alltrails.com/trail/us/texas/santa-ana-north-lake-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTU1MTA4NzkvZWM5YjVlODU5NmYzMDk5YjYwNTFiYTUzMGI4MmNjNTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
22080355c115,"Estero Llano Grande, Frontera Audubon Thicket, and Valley Nature Center",AllTrails,1.2,8.0,68,1,21.0,Loop,4.3,Estero Llano Grande State Park,Texas,United States,26.12503,-97.95694,130,https://www.alltrails.com/trail/us/texas/estero-llano-grande-frontera-audubon-thicket-and-valley-nature-center,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzMyNDg3OTUvZGZlNjQzMjM5NzM0ZWY0MDQxNTczMTIxZjU0MmM4NzYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
