Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
a3489c7a226b,Wilburn Ridge via Appalachian Trail,AllTrails,4.4,888.0,5521,5,132.0,Out & Back,4.8,Grayson Highlands State Park,Virginia,United States,36.6333,-81.50872,1742,https://www.alltrails.com/trail/us/virginia/wilburn-ridge-via-appalachian-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDIzNzE4NjYvNTg5MmVjMmY1Y2Y0MjhhMDFkNTE2YjcyOGFlYTQ5MzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
c7247453b11f,Massie Gap and Wilburn Ridge Loop,AllTrails,2.3,356.0,4924,3,63.0,Loop,4.7,Grayson Highlands State Park,Virginia,United States,36.63323,-81.50874,837,https://www.alltrails.com/trail/us/virginia/massie-gap-and-wilburn-ridge-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY3MTIwMzgvYmE2MTYyNWY5MzQ3MjNjMGZmNWZlNzUxOWRiMDNkNzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d25f37c566f1,Sand Cave and White Rocks via Ewing Trail,AllTrails,8.0,2283.0,3461,5,282.0,Loop,4.7,Cumberland Gap National Historical Park,Virginia,United States,36.6521,-83.43542,1096,https://www.alltrails.com/trail/us/virginia/ewing-trail-sand-cave-white-rocks,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzIyODE5NTAvMjEyMWM0YjlmOWVjMTcyM2UxNzFhYWI1NmNiYWMyMWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
dbab0bc95097,Mount Rogers via Appalachian Trail,AllTrails,10.6,1777.0,5728,5,294.0,Out & Back,4.8,Grayson Highlands State Park,Virginia,United States,36.63323,-81.50877,686,https://www.alltrails.com/trail/us/virginia/mount-rogers-spur-via-appalachian-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI0NDE4OTEvMmQ5YTUzZTc2MTBkOTc0ZWVkMWI4YmMyN2ZjOGNmYTIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
f64ea36dc854,"Wilburn Ridge, Pine Mountain, and Mount Rogers Trail",AllTrails,8.4,1555.0,5728,5,242.0,Out & Back,4.8,Grayson Highlands State Park,Virginia,United States,36.63351,-81.50599,941,https://www.alltrails.com/trail/us/virginia/wilburn-ridge-pine-mountain-and-mount-rogers-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY4MjI3NTkvNjNkNDZmMTIyYjVmYWIwNzQ1YWU0M2I4NDZjODY0OWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
90161b81a49c,Virginia Creeper Trail: Damascus to Whitetop,AllTrails,17.2,1945.0,3599,3,365.0,Point-to-Point,4.8,George Washington and Jefferson National Forests,Virginia,United States,36.63075,-81.7834,784,https://www.alltrails.com/trail/us/virginia/virginia-creeper-trail-damascus-to-whitetop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI1MTA4ODAvNzYyOWMwZGYxOWU5ZjI4MDY2Mzc3YjE0NDM4YWE1OWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
92013d1549e2, Mount Rogers via Appalachian Trail,AllTrails,8.9,1777.0,5728,5,265.0,Out & Back,4.6,Lewis Fork Wilderness,Virginia,United States,36.64618,-81.5833,474,https://www.alltrails.com/trail/us/virginia/mount-rogers-via-appalachian-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjA2NDgyNjEvMjAwM2ZjYzgyNTI2YjkwMDQxMjM1MTk2YWI2NzQ4ODEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
eae260aeda79,Mount Rogers Loop Trail,AllTrails,19.9,3661.0,5728,5,572.0,Loop,4.7,Grayson Highlands State Park,Virginia,United States,36.63364,-81.50572,377,https://www.alltrails.com/trail/us/virginia/mount-rogers-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY2MzY3ODAvNmY1MDE2Yjk1YTFjZDg1NjE5MTgzNGNlNDRmOGRjMjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
8ba38cd14af8,Grayson Highlands and Mount Rogers Loop,AllTrails,13.8,2208.0,5728,5,376.0,Loop,4.7,Grayson Highlands State Park,Virginia,United States,36.63365,-81.50603,324,https://www.alltrails.com/trail/us/virginia/grayson-highlands-mount-rogers-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM0MTQwODcvZGQzMWIzOGI1ZmJiNjFmZGY3NzQxNWViOTdkOWZmMTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
662ef3324f52,Twin Pinnacles Trail,AllTrails,1.6,288.0,5091,3,45.0,Loop,4.7,Grayson Highlands State Park,Virginia,United States,36.62375,-81.50016,473,https://www.alltrails.com/trail/us/virginia/twin-pinnacles-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA1OTE3MjkvYzJjYTlmZWMzZmMwMmE1Mzg4YmEzODZlZWVlMmFjMTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
