Unique_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Rating,Area,State,Country,Latitude,Longitude,Review_Count,Url,Cover_Photo,Parsed_Date
93b6d47b2801,Dog Mountain Trail,AllTrails,6.5,2988.0,2952.0,7,301.0,Loop,4.7,Columbia River Gorge National Scenic Area,Washington,United States,45.69934,-121.70815,4220,https://www.alltrails.com/trail/us/washington/dog-mountain-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ3MTg5NzEvMGIzMjgxZTgzZWNhOTUyMjZiOTMzN2UwZWY4MWEyOTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d5dfa032a3b9,Hamilton Mountain and Rodney Falls,AllTrails,7.2,2198.0,2401.0,5,,Loop,4.7,Beacon Rock State Park,Washington,United States,45.6327,-122.01973,3818,https://www.alltrails.com/trail/us/washington/hamilton-mountain-and-rodney-falls--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc0OTU4MTMvNWEyYjA5MzA1YThlMTA0MDY3MWVjMDY4NDIyODFkMjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
73180550ff32,Cape Horn Loop Trail,AllTrails,6.8,1404.0,1312.0,3,206.0,Loop,4.5,Columbia River Gorge National Scenic Area,Washington,United States,45.58933,-122.17852,4323,https://www.alltrails.com/trail/us/washington/cape-horn-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI4NTI4NDgvMThhOTc1NWEyYWZiMmE0Njg4Y2FlNjdmODJiYzBjMDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
134c16b1721c,Beacon Rock Trail,AllTrails,1.5,573.0,846.0,3,61.0,Out & Back,4.7,Beacon Rock State Park,Washington,United States,45.62854,-122.02228,2951,https://www.alltrails.com/trail/us/washington/beacon-rock-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY4MjI3MjcvOWRjNTJlZmIxNDI2ZWM2ZjEyYTA5ZmExNDNkYzYxNTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
567be842bbf3,Woodburn Falls and Round Lake via Lake to Lake Trail,AllTrails,3.1,344.0,295.0,3,75.0,Loop,4.5,Lacamas Creek Park,Washington,United States,45.60347,-122.40687,2541,https://www.alltrails.com/trail/us/washington/woodburn-falls-and-round-lake-via-lake-to-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI5MzAzODAvMGFhNTM4NWViNGIxMzAxMTU2ZGI3MTM5NGNiNDE1MzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
97f7ef2f4ecf,Coyote Wall Loop Trail,AllTrails,6.3,1764.0,1879.0,3,220.0,Loop,4.6,Columbia River Gorge National Scenic Area,Washington,United States,45.70057,-121.4012,2626,https://www.alltrails.com/trail/us/washington/coyote-wall-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzE2NjY1NTQvOTFhOTllMjFlNzliNWJjYmI4MGMyMjMyYjBmZDJiOTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
09328a3b4ab9,Hamilton Mountain Trail,AllTrails,5.4,2057.0,2408.0,5,223.0,Out & Back,4.6,Beacon Rock State Park,Washington,United States,45.63271,-122.01974,1714,https://www.alltrails.com/trail/us/washington/hamilton-mountain-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkzNzIyMzgvNjMwZWEwMjBjZTQxMTM3MWE2OGU2YmY5MzM2ODQyZTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
5dad2642df0e,Silver Star Mountain via Grouse Vista Trail,AllTrails,6.3,2106.0,4389.0,5,241.0,Out & Back,4.6,Gifford Pinchot National Forest,Washington,United States,45.72191,-122.26952,2781,https://www.alltrails.com/trail/us/washington/silver-star-mountain-via-grouse-vista-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTk0ODU0NzEvNzlhMDA3YzMwYjFjYzljMmYwZmRjMDkwYmIyZDYyYTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
d5f772889ec0,Dog Mountain Out and Back Route ,AllTrails,6.3,2837.0,2952.0,5,288.0,Out & Back,4.8,Columbia River Gorge National Scenic Area,Washington,United States,45.69928,-121.70818,1925,https://www.alltrails.com/trail/us/washington/dog-mountain-out-and-back-route,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzk2NzMxNDAvNTMzZTMyMGE3OWQ0Yjc2MzU1Y2NhODQ5NDM3NzM0NTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
f143ed442e96,Lake to Lake Trail Loop via Lacamas Creek,AllTrails,4.9,518.0,406.0,3,116.0,Loop,4.5,Lacamas Creek Park,Washington,United States,45.58929,-122.39158,2039,https://www.alltrails.com/trail/us/washington/lacamas-and-lily-fields,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDE4MDQ1NjMvODM0MGNiN2UzY2MxNTQ3NjI1ZWI5ZDc1ZjY4ODg5NjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-04-02
