Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
1d8c90137f88,10002308,Dog Mountain Trail,AllTrails,6.5,2988.0,2952.0,7,301.0,Loop,,4.7,4439,Columbia River Gorge National Scenic Area,Washington,United States,45.69934,-121.70815,https://www.alltrails.com/trail/us/washington/dog-mountain-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjAyOTQ1NTcvNGY0MjZlNTBlNzQ2ZTZkMWE4M2VmZGM5MzgzOWY1MmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
9165a4c2d479,10260853,Hamilton Mountain and Rodney Falls,AllTrails,7.2,2198.0,2401.0,5,,Loop,,4.7,3912,Beacon Rock State Park,Washington,United States,45.6327,-122.01973,https://www.alltrails.com/trail/us/washington/hamilton-mountain-and-rodney-falls--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyNTIyNjMvNjMzNzI1NTNhOTUwZTM3MzFlMzUzZjIxNGU1YThiODEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
141fedcf5ef4,10260871,Cape Horn Loop Trail,AllTrails,6.8,1404.0,1312.0,3,206.0,Loop,,4.5,4388,Columbia River Gorge National Scenic Area,Washington,United States,45.58933,-122.17852,https://www.alltrails.com/trail/us/washington/cape-horn-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI4NTI4NDgvMThhOTc1NWEyYWZiMmE0Njg4Y2FlNjdmODJiYzBjMDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
c1b3cfb9a895,10003193,Beacon Rock Trail,AllTrails,1.5,573.0,846.0,3,61.0,Out & Back,,4.7,3076,Beacon Rock State Park,Washington,United States,45.62854,-122.02228,https://www.alltrails.com/trail/us/washington/beacon-rock-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTc0MzQyMTAvMmUwYzQzNjRmMDM5MDFjN2NjZTlhMjBjNjgxMmQzMzkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
01dfddcdfa02,10022672,Woodburn Falls and Round Lake via Lake to Lake Trail,AllTrails,3.1,344.0,295.0,3,75.0,Loop,,4.5,2582,,Washington,United States,45.60347,-122.40687,https://www.alltrails.com/trail/us/washington/woodburn-falls-and-round-lake-via-lake-to-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzgxNjg4MzYvYTNhNzA1OGM2NjRlZmRmZDk0ZTEzNDM0NmJiODJmZDAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
556de5878cdf,10041492,Coyote Wall Loop Trail,AllTrails,6.3,1764.0,1879.0,3,220.0,Loop,,4.6,2814,Columbia River Gorge National Scenic Area,Washington,United States,45.70057,-121.4012,https://www.alltrails.com/trail/us/washington/coyote-wall-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjczMjQyNzEvNGFhOGQ1MGU3ZTE0NGQ0MDA0ZmM2OWJjZDdiNWU2NzEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
33b96905e7b4,10314389,Hamilton Mountain Trail,AllTrails,5.4,2057.0,2408.0,5,223.0,Out & Back,,4.7,1778,Beacon Rock State Park,Washington,United States,45.63271,-122.01974,https://www.alltrails.com/trail/us/washington/hamilton-mountain-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkzNzIyMzgvNjMwZWEwMjBjZTQxMTM3MWE2OGU2YmY5MzM2ODQyZTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
4c12f7cba45a,10255088,Silver Star Mountain via Grouse Vista Trail,AllTrails,6.3,2106.0,4389.0,5,241.0,Out & Back,,4.6,2826,Gifford Pinchot National Forest,Washington,United States,45.72191,-122.26952,https://www.alltrails.com/trail/us/washington/silver-star-mountain-via-grouse-vista-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI1ODgxOTgvZTFjMGQ3MTBiYjk5MTA4MzU4NmY0NjAyN2EyZGE3NmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
b243f36de363,10318655,Dog Mountain Out and Back Route ,AllTrails,6.3,2837.0,2952.0,5,288.0,Out & Back,,4.8,2051,Columbia River Gorge National Scenic Area,Washington,United States,45.69928,-121.70818,https://www.alltrails.com/trail/us/washington/dog-mountain-out-and-back-route,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTc0ODAzNjEvMjliNTY0MGYyMWI1MTAzZTAwZGU5OTAwMDEzZTc0MjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
76b31c2c54a7,10318583,Lake to Lake Trail Loop via Lacamas Creek,AllTrails,4.9,518.0,406.0,3,116.0,Loop,,4.5,2091,,Washington,United States,45.58929,-122.39158,https://www.alltrails.com/trail/us/washington/lacamas-and-lily-fields,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDE4MDQ1NjMvODM0MGNiN2UzY2MxNTQ3NjI1ZWI5ZDc1ZjY4ODg5NjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2024-05-14
